,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,sentence,correct,tags,en,es,model_result
0,0,0,0,The firemen arrived ten minutes later.,True,DT NNS VBD CD NNS RB . ,-12.565441012173688,-13.730625533809226,True
1,1,1,1,Arrived the firemen ten minutes later.,False,VBD DT NNS CD NNS RB . ,-14.976397285912547,-12.809509205134402,True
2,2,2,2,Yesterday played very well the children.,False,NN VBD RB RB DT NNS . ,-9.804493364960797,-9.236480355539905,True
3,3,3,3,Played very well the children yesterday.,False,VBN RB RB DT NNS NN . ,-11.868417793491494,-13.04805042083184,False
4,4,4,4,Yesterday the children played very well.,True,NN DT NNS VBD RB RB . ,-10.667846000431245,-12.96131814256757,True
5,5,5,5,The children played very well yesterday.,True,DT NNS VBD RB RB NN . ,-12.860725224832704,-14.972963004274295,True
6,6,6,6,Often she has helped.,False,RB PRP VBZ VBN . ,-4.43992186114072,-2.4259516079131926,True
7,7,7,7,She often has helped.,False,PRP RB VBZ VBN . ,-6.406445414785408,-4.1131149164850695,True
8,8,8,8,They live in the house white.,False,PRP VBP IN DT NN JJ . ,-9.000618660463289,-4.522076534422606,True
9,9,9,9,Can you lend me a ball of tennis?,False,MD PRP VB PRP DT NN IN NN . ,-9.338228307739616,-12.371764464236824,False
10,10,10,10,The Club of Bridge of the University of Cambridge.,False,DT NNP IN NNP IN DT NNP IN NNP . ,-11.801346930322484,-9.341474863267322,True
11,11,11,11,They gave to Sam the book.,False,PRP VBD IN NNP DT NN . ,-9.431836674500124,-7.532792826040588,True
12,12,12,12,They gave the book to Sam.,True,PRP VBD DT NN IN NNP . ,-5.864808439333844,-5.257630508784626,False
13,13,13,13,They took to the hospital her mother.,False,PRP VBD IN DT NN PRP$ NN . ,-12.046812744502606,-11.196689046410803,True
14,14,14,14,Mrs Smith speaks very well English.,False,NNP NNP VBZ RB RB NNP . ,-11.934666175593202,-12.880930813083891,False
15,15,15,15,Keep tidy Britain.,False,VB JJ NNP . ,-5.559572802672457,-5.540565287599983,True
16,16,16,16,John has bought the books?,True,NNP VBZ VBN DT NNS . ,-6.277692864586228,-4.764467000670709,False
17,17,17,17,Has bought the books John? Mary came?,False,VBZ VBN DT NNS NNP . NNP VBD . ,-27.326434853869767,-20.469519917979603,True
18,18,18,18,When Mary came?,False,WRB NNP VBD . ,-2.164108295689112,-4.0342406381523945,False
19,19,19,19,Came Mary?,False,VBD NNP . ,-3.196985068534038,-2.47463393993228,True
20,20,20,20,"Mary, when came?",False,"NNP , WRB VBD . ",-9.962024424818448,-13.540233661187198,False
21,21,21,21,Who did kill Oswald?,False,WP VBD VB NNP . ,-9.808364185944745,-12.283311425870972,False
22,22,22,22,Who Oswald killed?,False,WP NNP VBD . ,-3.0350531419479787,-3.29308961152919,False
23,23,23,23,Who killed to Kennedy?,False,WP VBD IN NNP . ,-4.0737727737294485,-3.3869469336788365,True
24,24,24,24,Who Kennedy killed?,False,WP NNP VBD . ,-3.0350531419479787,-3.29308961152919,False
25,25,25,25,Did they went?,False,VBD PRP VBD . ,-2.807305159197551,-2.863665010034358,False
26,26,26,26,Do they went?,False,VBP PRP VBD . ,-4.327982306914442,-4.35593152389103,False
27,27,27,27,Do she goes?,False,VBP PRP VBZ . ,-2.2255918322490604,-2.103046099449257,True
28,28,28,28,Does she goes?,False,VBZ PRP VBZ . ,-3.366390954910593,-2.806218246178532,True
29,29,29,29,"They're coming tomorrow, no?",False,"PRP VBP VBG NN , UH . ",-15.293504551805668,-19.487284335662686,False
30,30,30,30,"You have a car, no?",False,"PRP VBP DT NN , UH . ",-12.89197048677778,-15.129467634105207,False
31,31,31,31,Peter not found the key.,False,NNP RB VBD DT NN . ,-3.9879676465194662,-5.073700772780493,False
32,32,32,32,Peter not has found the key.,False,NNP RB VBZ VBN DT NN . ,-8.04409466903617,-4.95686836406827,True
33,33,33,33,I no understand.,False,PRP RB VBP . ,-0.7421652680140682,-1.1110793615939605,False
34,34,34,34,Those no.,False,DT UH . ,-3.1403135023650988,-0.6505875661411494,True
35,35,35,35,Green no.,False,NNP NN . ,-1.7807008926995478,-2.1710116516733087,False
36,36,36,36,Here no.,False,RB UH . ,-4.093550596320925,-2.772588722239781,True
37,37,37,37,I not saw nobody.,False,PRP RB VBD NN . ,-5.788510634609237,-5.399402794477148,True
38,38,38,38,I didn't see nobody.,False,PRP VBD RB VB NN . ,-6.9562342399295725,-16.820686671374432,False
39,39,39,39,Tom not helps her never.,False,NNP RB VBZ PRP RB . ,-6.947698567313241,-9.693892592128488,False
40,40,40,40,Tom doesn't help her never.,False,NNP VBZ RB VB PRP RB . ,-9.29459462208171,-19.158988055523817,False
41,41,41,41,I waited but anybody came.,False,PRP VBD CC NN VBD . ,-15.034571399739336,-14.498624156925251,True
42,42,42,42,Maria cans cook.,False,NNP NNS VBP . ,-2.36139228975228,-3.921865711032327,False
43,43,43,43,Do you can swim?,False,VBP PRP MD VB . ,-2.530002447888924,-3.398409175535223,False
44,44,44,44,May you come tomorrow?,False,MD PRP VB NN . ,-3.712939587028817,-8.720007043222777,False
45,45,45,45,She could find the key.,False,PRP MD VB DT NN . ,-2.894718736725432,-2.2865837894384784,True
46,46,46,46,She had to win the match.,False,PRP VBD TO VB DT NN . ,-4.871529419232768,-4.593612424716526,True
47,47,47,47,They will can do it next week.,False,PRP MD MD VB PRP JJ NN . ,-21.983907594391646,-27.880448806013266,False
48,48,48,48,She went up the stairs.,True,PRP VBD RP DT NNS . ,-7.5689930378696735,-17.376708953778685,True
49,49,49,49,She went up the book.,False,PRP VBD RP DT NN . ,-6.092212807202791,-15.94959259813854,False
50,50,50,50,They were waiting.,True,PRP VBD VBG . ,-3.6476175241819786,-4.672745479421483,True
51,51,51,51,They were waiting the bus.,False,PRP VBD VBG DT NN . ,-6.305745196173596,-6.60303630964419,False
52,52,52,52,Mary laughed. What did she laugh?,False,NNP VBD . WP VBD PRP VB . ,-20.22864289103979,-28.214309201252824,False
53,53,53,53,Football likes me.,False,NN VBZ PRP . ,-4.548033917231658,-7.202034965983522,False
54,54,54,54,"Do they want some money? Yes, they want.",False,"VBP PRP VB DT NN . UH , PRP VBP . ",-19.796735618454345,-29.926285385111342,False
55,55,55,55,"Do you want to go? No, I don't want.",False,"VBP PRP VB TO VB . UH , PRP VBP RB VB . ",-24.810495132796817,-44.77804456364947,False
56,56,56,56,I like to get up early; I'm used.,False,PRP VBP TO VB RP RB : PRP VBP VBN . ,-18.6523002341296,-29.85135171179886,False
57,57,57,57,"Are they coming? No, I don't think.",False,"VBP PRP VBG . UH , PRP VBP RB VB . ",-22.60756770731066,-36.403836127708956,False
58,58,58,58,Look! It rains!,False,VB . PRP VBZ . ,-6.3892673339201345,-7.570700858256676,False
59,59,59,59,Do I come tomorrow?,False,VBP PRP VB NN . ,-5.975831195731553,-12.445311743535195,False
60,60,60,60,I wait for you at home.,False,PRP VBP IN PRP IN NN . ,-9.297677993509227,-9.997741937959388,False
61,61,61,61,I see her this evening.,False,PRP VBP PRP DT NN . ,-7.720202718017753,-9.446269264858405,False
62,62,62,62,How long are you working in your present job?,False,WRB RB VBP PRP VBG IN PRP$ JJ NN . ,-16.655104138691605,-22.983698817788113,False
63,63,63,63,It's a long time that I live here.,False,PRP VBZ DT JJ NN WDT PRP VBP RB . ,-11.572901104280872,-19.143397633292032,False
64,64,64,64,When has she received the letter?,False,WRB VBZ PRP VBD DT NN . ,-9.239258927353195,-10.9084140531139,False
65,65,65,65,Today I've finished work early because I've started at seven o'clock this morning.,False,NN PRP VB VBN NN RB IN PRP VB VBN IN CD NN DT NN . ,-45.17309156241839,-55.9953171086977,False
66,66,66,66,"When we were young, we were playing a lot of tennis.",False,"WRB PRP VBD JJ , PRP VBD VBG DT NN IN NN . ",-21.584988352968868,-22.63431054514018,False
67,67,67,67,"When I was a teenager, I was having a motorbike.",False,"WRB PRP VBD DT NN , PRP VBD VBG DT NN . ",-18.023571264272302,-18.800792233382726,False
68,68,68,68,She wasn't knowing that he had died.,False,PRP VBD RB VBG IN PRP VBD VBN . ,-15.314559961773655,-18.61168561891182,False
69,69,69,69,Come you tomorrow!,False,VB PRP NN . ,-4.631101150005241,-4.319353040145823,True
70,70,70,70,"When Mary will get here, tell her to come in.",False,"WRB NNP MD VB RB , VB PRP TO VB RP . ",-19.547824538371685,-37.942105623569496,False
71,71,71,71,I use to do a lot of exercise.,False,PRP VBP TO VB DT NN IN NN . ,-7.013945763405199,-6.689187590778233,True
72,72,72,72,The house built itself before the war.,False,DT NN VBD PRP IN DT NN . ,-11.483380988591616,-14.908122221669192,False
73,73,73,73,They were given bikes for Christmas.,True,PRP VBD VBN NNS IN NNP . ,-11.384050699850548,-9.750651975984765,False
74,74,74,74,Polly was owed a lot of money.,True,NNP VBD VBN DT NN IN NN . ,-8.797477871422592,-7.48519798758903,False
75,75,75,75,The lecture was very bored.,False,DT NN VBD RB JJ . ,-8.135795060911036,-9.726260984551582,False
76,76,76,76,I'm very interesting in Polish films.,False,PRP VBP RB JJ IN JJ NNS . ,-8.30149274800021,-11.047519456135046,False
77,77,77,77,To smoke is bad for you.,False,TO VB VBZ JJ IN PRP . ,-12.295380568895993,-13.339319541470651,False
78,78,78,78,It's difficult learn English.,False,PRP VBZ JJ VBP NNP . ,-15.462433703547287,-16.818637624106408,False
79,79,79,79,Let us to see.,False,VB PRP TO VB . ,-2.2347520685931483,-3.5791856639977717,False
80,80,80,80,The food is more important than the art.,False,DT NN VBZ RBR JJ IN DT NN . ,-12.238188703073796,-21.03065292999885,False
81,81,81,81,Do you like the big dogs?,False,VBP PRP VB DT JJ NNS . ,-7.35611990558059,-13.775785883840168,False
82,82,82,82,"That is the yours, and this is the mine.",False,"DT VBZ DT NNS , CC DT VBZ DT NN . ",-15.523515654250168,-15.22669021856759,True
83,83,83,83,We used to live in one  flat; now we live in one house.,False,PRP VBD TO VB IN CD _SP JJ : RB PRP VBP IN CD NN . ,-37.106930907250685,-41.28950222865864,False
84,84,84,84,Do you have car?,False,VBP PRP VB NN . ,-5.975831195731553,-12.445311743535195,False
85,85,85,85,Her sister is dentist.,False,PRP$ NN VBZ NN . ,-6.42166481285728,-6.520977860398516,False
86,86,86,86,I have ones nice American friends.The table is dirty.,False,PRP VBP NNS JJ JJ NNS . DT NN VBZ JJ . ,-28.485591740367152,-26.63559716678985,True
87,87,87,87,"Clean her, please.",False,"VB PRP , UH . ",-9.23427757078799,-10.788750534806313,False
88,88,88,88,"They showed me two models, and I bought the small.",False,"PRP VBD PRP CD NNS , CC PRP VBD DT JJ . ",-21.066810763045822,-25.962031474261583,False
89,89,89,89,I am more old than my sister.,False,PRP VBP RBR JJ IN PRP$ NN . ,-12.444710627755205,-22.77105733637359,False
90,90,90,90,Barcelona is the more large city of Catalonia.,False,NNP VBZ DT RBR JJ NN IN NNP . ,-12.973276864983097,-23.0803637390983,False
91,91,91,91,Rosa isn't French. Is Spanish.,False,NNP VBZ RB NNP . VBZ JJ . ,-23.42732263423127,-20.35625362693809,True
92,92,92,92,Have gone home because wanted to go to bed.,False,VBP VBN RB IN VBD TO VB IN NN . ,-20.587380720620807,-15.104623880068411,True
93,93,93,93,Was raining.,False,VBD VBG . ,-3.3558781100470045,-2.845781096790488,True
94,94,94,94,That's the man who he lives next door to us.,False,DT VBZ DT NN WP PRP VBZ JJ NN IN PRP . ,-22.894959317707013,-27.403233465435314,False
95,95,95,95,I saw she.,False,PRP VBD PRP . ,-3.3502630194050638,-5.970543130935553,False
96,96,96,96,They know we.,False,PRP VBP PRP . ,-3.0005942089503086,-6.515173568201126,False
97,97,97,97,How many cakes is it in the cupboard?,False,WRB JJ NNS VBZ PRP IN DT NN . ,-13.438030917446447,-17.732299054041288,False
98,98,98,98,Who is it? Am I.,False,WP VBZ PRP . VBP NN ,-15.069958517579488,-15.689247338371196,False
99,99,99,99,They enjoyed very much.,False,PRP VBD RB RB . ,-4.037611236268648,-5.029553877914967,False
100,100,100,100,She complained herself.,False,PRP VBD PRP . ,-3.3502630194050638,-5.970543130935553,False
101,101,101,101,I showered me and went out.,False,PRP VBD PRP CC VBD RP . ,-14.570463240192044,-23.758579354700885,False
102,102,102,102,Mary washed the hair.,False,NNP VBD DT NN . ,-2.203130539339825,-1.7349632434777105,True
103,103,103,103,Bill cut himself the finger.,False,NNP VBD PRP DT NN . ,-7.271669177807466,-9.883624041967787,False
104,104,104,104,Sara and Joe had both got his shoes wet.,False,NNP CC NNP VBD DT VBN PRP$ NNS JJ . ,-25.62968922195775,-24.687961355739393,True
105,105,105,105,The my cousin is in Portugal.,False,DT PRP$ NN VBZ IN NNP . ,-9.235461967012512,-8.20836288893954,True
106,106,106,106,The girls we saw looked quite happy.,True,DT NNS PRP VBD VBD RB JJ . ,-14.761828864726276,-16.644370779344932,True
107,107,107,107,Did you like the woman we spoke to?,True,VBD PRP VB DT NN PRP VBD IN . ,-13.004096425674494,-17.716144814704922,True
108,108,108,108,They have gone for buy a film.,False,PRP VBP VBN IN VB DT NN . ,-14.019053598640447,-15.140726449293293,False
109,109,109,109,We are going to have the house painted.,True,PRP VBP VBG TO VB DT NN VBN . ,-11.052759351752368,-16.380550381806678,True
110,110,110,110,We are going to make paint the house.,False,PRP VBP VBG TO VB NN DT NN . ,-13.80759304835467,-15.094944389198766,False
111,111,111,111,They refused helping their neighbours.,False,PRP VBD VBG PRP$ NNS . ,-8.687364138242732,-9.56443207614692,False
112,112,112,112,I'll never forget to see that accident.,False,PRP MD RB VB TO VB DT NN . ,-5.869327170024391,-19.5500496386979,False
113,113,113,113,She explained me the problem.,False,PRP VBD PRP DT NN . ,-7.204894437486818,-9.045482707481506,False
114,114,114,114,They suggested Jim to take the job.,False,PRP VBD NNP TO VB DT NN . ,-9.814143929178554,-12.19831847506654,False
115,115,115,115,I am asking that they go.,False,PRP VBP VBG IN PRP VBP . ,-7.980926269332664,-9.650181889020383,False
116,116,116,116,They ordered her that she should go.,False,PRP VBD PRP IN PRP MD VB . ,-9.356937551979106,-14.522592585704002,False
117,117,117,117,They ordered her that she went.,False,PRP VBD PRP IN PRP VBD . ,-9.670875933427842,-13.598641359453518,False
118,118,118,118,I want that you don't go.,False,PRP VBP IN PRP VBP RB VB . ,-8.429415123358924,-19.0203789523898,False
119,119,119,119,I want that you not go.,False,PRP VBP IN PRP RB VBP . ,-7.658679712457005,-9.055601707742666,False
120,120,120,120,The captain ordered the soldiers that they didn't retreat.,False,DT NN VBD DT NNS IN PRP VBD RB VB . ,-20.781835560591816,-31.274844832305146,False
121,121,121,121,I don't know where does Mary live.,False,PRP VBP RB VB WRB VBZ NNP VB . ,-22.91275331454997,-33.91645537613116,False
122,122,122,122,They asked me how much did I earn.,False,PRP VBD PRP WRB JJ VBD PRP VB . ,-21.891838672334565,-35.06807772988037,False
123,123,123,123,They took to their mother to the hospital.,False,PRP VBD IN PRP$ NN IN DT NN . ,-8.406296713929661,-7.643968043289234,True
124,124,124,124,For what have you come?,False,IN WP VBP PRP VB . ,-8.713983585250848,-14.164078413338006,False
125,125,125,125,I don't know who they're working for.,True,PRP VBP RB VB WP PRP VBP VBG IN . ,-14.230490380147605,-26.825652276947533,True
126,126,126,126,Who does Fred sit next to?,True,WP VBZ NNP VB RB IN . ,-13.7205238926476,-18.47724620604811,True
127,127,127,127,"After to see the film, we went for a meal.",False,"IN TO VB DT NN , PRP VBD IN DT NN . ",-12.795207356940415,-12.590752522648337,True
128,128,128,128,They are into the room.,False,PRP VBP IN DT NN . ,-3.5406065224491807,-2.9928517953874207,True
129,129,129,129,We stopped in the crossroads.,False,PRP VBD IN DT NNS . ,-4.663165041412512,-3.3611213526899886,True
130,130,130,130,She works like a waitress.,False,PRP VBZ IN DT NN . ,-3.969285970978528,-2.828916872215985,True
131,131,131,131,They seem as their mother.,False,PRP VBP IN PRP$ NN . ,-5.921177855764217,-5.339541548949166,True
132,132,132,132,This park was designed for the Catalan architect Gaudi.,False,DT NN VBD VBN IN DT JJ NN NNP . ,-15.555327926684384,-18.057652356914843,False
133,133,133,133,They stayed there during three months.,False,PRP VBD RB IN CD NNS . ,-10.062651912278561,-7.854129046824732,True
