,sentence,correct,error_type,tags,tags_trigram,ud,ud_trigram,en,es,model_result,has_detected_error,has_detected_correct
0,The firemen arrived ten minutes later.,True,_,DT NNS VBD CD NNS RB . ,DT NNS VBD,DET NOUN VERB NUM NOUN ADV PUNCT ,DET NOUN VERB,-4.039931712592055,-4.467963724666892,True,False,False
1,Arrived the firemen ten minutes later.,False,W,VBD DT NNS CD NNS RB . ,VBD DT NNS,VERB DET NOUN NUM NOUN ADV PUNCT ,VERB DET NOUN,-2.8126895002572883,-2.062189693257991,True,False,False
2,Yesterday played very well the children.,False,W,NN VBD RB RB DT NNS . ,VBD RB RB,NOUN VERB ADV ADV DET NOUN PUNCT ,VERB ADV ADV,-2.093926064208524,-2.55589664453553,False,False,False
3,Played very well the children yesterday.,False,W,VBN RB RB DT NNS NN . ,VBN RB RB,VERB ADV ADV DET NOUN NOUN PUNCT ,VERB ADV ADV,-1.817231760908797,-2.4649857451473984,False,False,False
4,The children played very well yesterday.,True,_,DT NNS VBD RB RB NN . ,DT NNS VBD,DET NOUN VERB ADV ADV NOUN PUNCT ,DET NOUN VERB,-4.039931712592055,-4.467963724666892,True,False,False
5,Often she has helped.,False,W,RB PRP VBZ VBN . ,RB PRP VBZ,ADV PRON VERB VERB PUNCT ,ADV PRON VERB,-2.0924921806479566,-0.7435665342950651,True,False,False
6,She often has helped.,False,W,PRP RB VBZ VBN . ,RB VBZ VBN,PRON ADV VERB VERB PUNCT ,PRON ADV VERB,-3.8497800158919335,-2.111953857317731,True,False,False
7,They live in the house white.,False,W,PRP VBP IN DT NN JJ . ,NN JJ .,PRON VERB ADP DET NOUN ADJ PUNCT ,NOUN ADJ PUNCT,-2.528399199229372,-1.8412711558705144,True,False,False
8,Can you lend me a ball of tennis?,False,UT,MD PRP VB PRP DT NN IN NN . ,NN IN NN,VERB PRON VERB PRON DET NOUN ADP NOUN PUNCT ,NOUN ADP NOUN,-1.8274010991701664,-1.496617797021662,True,False,False
9,The Club of Bridge of the University of Cambridge.,False,UT,DT NNP IN NNP IN DT NNP IN NNP . ,NNP IN NNP,DET PROPN ADP PROPN ADP DET PROPN ADP PROPN PUNCT ,PROPN ADP PROPN,-1.2671454716706527,-1.2678873349828843,False,False,False
10,They gave to Sam the book.,False,W,PRP VBD IN NNP DT NN . ,IN NNP DT,PRON VERB ADP PROPN DET NOUN PUNCT ,ADP PROPN DET,-4.3967719525379145,-3.3753126830970688,True,False,False
11,They gave the book to Sam.,True,_,PRP VBD DT NN IN NNP . ,IN NNP .,PRON VERB DET NOUN ADP PROPN PUNCT ,ADP PROPN PUNCT,-2.158963489484924,-2.2793373034471784,True,False,False
12,They took to the hospital her mother.,False,W,PRP VBD IN DT NN PRP$ NN . ,NN PRP$ NN,PRON VERB ADP DET NOUN DET NOUN PUNCT ,NOUN DET NOUN,-0.8042570841826577,-0.7023984304454626,True,False,False
13,Mrs Smith speaks very well English.,False,W,NNP NNP VBZ RB RB NNP . ,RB RB NNP,PROPN PROPN VERB ADV ADV PROPN PUNCT ,ADV ADV PROPN,-5.0274470341196835,-4.980578881399643,True,False,False
14,Keep tidy Britain.,False,W,VB JJ NNP . ,VB JJ NNP,VERB ADJ PROPN PUNCT ,VERB ADJ PROPN,-5.083416177836073,-5.255933835010255,False,False,False
15,John has bought the books?,True,_,NNP VBZ VBN DT NNS . ,NNP VBZ VBN,PROPN VERB VERB DET NOUN PUNCT ,PROPN VERB VERB,-1.489348792304633,-1.6707178230485609,True,False,False
16,Has bought the books John?,False,W,VBZ VBN DT NNS NNP . ,VBZ VBN DT,VERB VERB DET NOUN PROPN PUNCT ,VERB VERB DET,-2.066547419267783,-1.290738309545307,True,False,False
17,Mary came?,True,_,NNP VBD . ,NNP VBD .,PROPN VERB PUNCT ,PROPN VERB PUNCT,-3.907888289685737,-5.518581463621182,True,False,False
18,When Mary came?,False,W,WRB NNP VBD . ,WRB NNP VBD,ADV PROPN VERB PUNCT ,ADV PROPN VERB,-2.1806325762346352,-4.358122792158542,False,False,False
19,Came Mary?,False,W,VBD NNP . ,VBD NNP .,VERB PROPN PUNCT ,VERB PROPN PUNCT,-3.2156632468948634,-2.5035668509793894,True,False,False
20,"Mary, when came?",False,W,"NNP , WRB VBD . ",WRB VBD .,PROPN PUNCT ADV VERB PUNCT ,ADV VERB PUNCT,-8.891287968969747,-7.712254208203985,True,False,False
21,Who did kill Oswald?,False,UV,WP VBD VB NNP . ,VBD VB NNP,PRON VERB VERB PROPN PUNCT ,VERB VERB PROPN,-4.146041342538691,-11.52190250995423,False,False,False
22,Who Oswald killed?,False,MV,WP NNP VBD . ,WP NNP VB,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-7.255307308748157,-8.140639434795157,False,False,False
23,Who killed to Kennedy?,False,UT,WP VBD IN NNP . ,VBD IN NNP,PRON VERB ADP PROPN PUNCT ,VERB ADP PROPN,-2.453353258998636,-1.9221536880462915,True,False,False
24,Who Kennedy killed?,False,W,WP NNP VBD . ,WP NNP VBD,PRON PROPN VERB PUNCT ,PRON PROPN VERB,-3.0455317152225976,-3.318597826099219,False,False,False
25,Did they went?,False,TV,VBD PRP VBD . ,VBD PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-2.8189500004954837,-2.8907579851594085,False,False,False
26,Do they went?,False,TV,VBP PRP VBD . ,VBP PRP VBD,VERB PRON VERB PUNCT ,VERB PRON VERB,-4.242488593956196,-4.40707678719752,False,False,False
27,Do she goes?,False,AGV,VBP PRP VBZ . ,VBP PRP VBZ,VERB PRON VERB PUNCT ,VERB PRON VERB,-2.2419341188701627,-2.1328269187054283,True,False,False
28,Does she goes?,False,AGV,VBZ PRP VBZ . ,VBZ . _,VERB PRON VERB PUNCT ,VERB PUNCT _,-0.06807886362559097,-0.07973263020609145,False,False,False
29,"They're coming tomorrow, no?",False,_,"PRP VBP VBG NN , UH . ",UH . _,PRON VERB VERB NOUN PUNCT INTJ PUNCT ,INTJ PUNCT _,-0.12958598344278865,-0.384865469702997,False,False,False
30,"You have a car, no?",False,_,"PRP VBP DT NN , UH . ",", UH .",PRON VERB DET NOUN PUNCT INTJ PUNCT ,PUNCT INTJ PUNCT,-2.751136149970219,-2.3391384384791194,True,False,False
31,Peter not found the key.,False,X,NNP RB VBD DT NN . ,RB VBD DT,PROPN ADV VERB DET NOUN PUNCT ,ADV VERB DET,-1.4493866409111815,-1.665288833911566,False,False,False
32,Peter not has found the key.,False,X,NNP RB VBZ VBN DT NN . ,RB VBZ VBN,PROPN ADV VERB VERB DET NOUN PUNCT ,ADV VERB VERB,-3.8497800158919335,-2.111953857317731,True,False,False
33,Those no.,False,X,DT UH . ,DT UH .,DET INTJ PUNCT ,DET INTJ PUNCT,-3.0328426265715422,-0.3924829894767338,True,False,False
34,Green no.,False,X,NNP NN . ,NNP NN .,PROPN NOUN PUNCT ,PROPN NOUN PUNCT,-1.8050164970116649,-2.2071011207615667,False,False,False
35,Here no.,False,X,RB UH . ,RB UH .,ADV INTJ PUNCT ,ADV INTJ PUNCT,-4.133953920945614,-0.03938977483684592,True,False,False
36,Maria cans cook.,False,AGV,NNP NNS VBP . ,NNS VBP .,PROPN NOUN VERB PUNCT ,NOUN VERB PUNCT,-4.1689042263122165,-4.938492913429885,False,False,False
37,Do you can swim?,False,UV,VBP PRP MD VB . ,VBP PRP MD,VERB PRON VERB VERB PUNCT ,VERB PRON VERB,-2.1917709062099378,-3.434475553112004,False,False,False
38,They will can do it next week.,False,UV,PRP MD MD VB PRP JJ NN . ,MD MD VB,PRON VERB VERB VERB PRON ADJ NOUN PUNCT ,VERB VERB VERB,-0.1990965959746636,-11.877569477090649,False,False,False
39,She went up the stairs.,True,_,PRP VBD RP DT NNS . ,VBD RP DT,PRON VERB PART DET NOUN PUNCT ,VERB PART DET,-1.3024239369742556,-11.892951095888893,True,False,False
40,She went up the book.,False,MT,PRP VBD RP DT NN . ,VBD RP DT,PRON VERB PART DET NOUN PUNCT ,VERB PART DET,-1.3024239369742556,-11.892951095888893,False,False,False
41,They were waiting.,True,_,PRP VBD VBG . ,PRP VBD VBG,PRON VERB VERB PUNCT ,PRON VERB VERB,-3.5943189103786164,-4.394556890066814,True,False,False
42,Mary laughed.,True,_,NNP VBD . ,NNP VBD .,PROPN VERB PUNCT ,PROPN VERB PUNCT,-3.907888289685737,-5.518581463621182,True,False,False
43,What did she laugh?,False,MT,WP VBD PRP VB . ,VB . _,PRON VERB PRON VERB PUNCT ,VERB PUNCT _,-0.05955177880419003,-0.05802034107318271,True,False,False
44,Football likes me.,False,_,NN VBZ PRP . ,NN VBZ PRP,NOUN VERB PRON PUNCT ,NOUN VERB PRON,-4.428685518100552,-6.227604460897945,False,False,False
45,"Do you want to go? No, I don't want.",False,MT,"VBP PRP VB TO VB . UH , PRP VBP RB VB . ",VB . _,VERB PRON VERB PART VERB PUNCT INTJ PUNCT PRON VERB ADV VERB PUNCT ,VERB PUNCT _,-0.05955177880419003,-0.05802034107318271,True,False,False
46,I like to get up early; I'm used.,False,MA,PRP VBP TO VB RP RB : PRP VBP VBN . ,VBN . _,PRON VERB PART VERB PART ADV PUNCT PRON VERB VERB PUNCT ,VERB PUNCT _,-0.05675180828665626,-0.0558949034501783,True,False,False
47,"Are they coming? No, I don't think.",False,MA,"VBP PRP VBG . UH , PRP VBP RB VB . ",VB . _,VERB PRON VERB PUNCT INTJ PUNCT PRON VERB ADV VERB PUNCT ,VERB PUNCT _,-0.05955177880419003,-0.05802034107318271,True,False,False
48,Look! It rains!,False,TV,VB . PRP VBZ . ,PRP VBZ .,VERB PUNCT PRON VERB PUNCT ,PRON VERB PUNCT,-4.3630486520380245,-3.301614332143988,True,False,False
49,I wait for you at home.,False,MV,PRP VBP IN PRP IN NN . ,VBP IN PRP,PRON VERB ADP PRON ADP NOUN PUNCT ,VERB ADP PRON,-1.984558937503924,-2.954332320430204,False,False,False
50,I see her this evening.,False,MV,PRP VBP PRP DT NN . ,VBP PRP DT,PRON VERB PRON DET NOUN PUNCT ,VERB PRON DET,-3.56949438072573,-1.6848813068308588,True,False,False
51,How long are you working in your present job?,False,TV,WRB RB VBP PRP VBG IN PRP$ JJ NN . ,VBP PRP VBG,ADV ADV VERB PRON VERB ADP DET ADJ NOUN PUNCT ,VERB PRON VERB,-3.4352657094531707,-6.4393220279532875,False,False,False
52,It's a long time that I live here.,False,TV,PRP VBZ DT JJ NN WDT PRP VBP RB . ,VBP RB .,PRON VERB DET ADJ NOUN DET PRON VERB ADV PUNCT ,VERB ADV PUNCT,-4.1874558066103384,-3.2746033692140215,True,False,False
53,When has she received the letter?,False,TV,WRB VBZ PRP VBD DT NN . ,VBZ PRP VBD,ADV VERB PRON VERB DET NOUN PUNCT ,VERB PRON VERB,-5.215706032648484,-5.040767204048676,True,False,False
54,Today I've finished work early because I've started at seven o'clock this morning.,False,UV,NN PRP VB VBN NN RB IN PRP VB VBN IN CD NN DT NN . ,VB VBN NN,NOUN PRON VERB VERB NOUN ADV ADP PRON VERB VERB ADP NUM NOUN DET NOUN PUNCT ,VERB VERB NOUN,-4.091061094406949,-4.056991482817273,True,False,False
55,"When we were young, we were playing a lot of tennis.",False,TV,"WRB PRP VBD JJ , PRP VBD VBG DT NN IN NN . ",VBD VBG DT,ADV PRON VERB ADJ PUNCT PRON VERB VERB DET NOUN ADP NOUN PUNCT ,VERB VERB DET,-1.8800052509970158,-1.4255830591731908,True,False,False
56,"When I was a teenager, I was having a motorbike.",False,TV,"WRB PRP VBD DT NN , PRP VBD VBG DT NN . ",VBD VBG DT,ADV PRON VERB DET NOUN PUNCT PRON VERB VERB DET NOUN PUNCT ,VERB VERB DET,-1.8800052509970158,-1.4255830591731908,True,False,False
57,She wasn't knowing that he had died.,False,TV,PRP VBD RB VBG IN PRP VBD VBN . ,VBD RB VBG,PRON VERB ADV VERB ADP PRON VERB VERB PUNCT ,VERB ADV VERB,-3.64262445559547,-5.392074928031157,False,False,False
58,Come you tomorrow!,False,UA,VB PRP NN . ,PRP NN .,VERB PRON NOUN PUNCT ,PRON NOUN PUNCT,-1.6634815914385148,-2.372044147451933,False,False,False
59,"When Mary will get here, tell her to come in.",False,TV,"WRB NNP MD VB RB , VB PRP TO VB RP . ",MD VB RB,ADV PROPN VERB VERB ADV PUNCT VERB PRON PART VERB PART PUNCT ,VERB VERB ADV,-2.61002417589392,-2.1727736541342004,True,False,False
60,I use to do a lot of exercise.,False,TV,PRP VBP TO VB DT NN IN NN . ,VBP TO VB,PRON VERB PART VERB DET NOUN ADP NOUN PUNCT ,VERB PART VERB,-0.03854948148069643,-0.03376883989295226,True,False,False
61,The house built itself before the war.,False,MV,DT NN VBD PRP IN DT NN . ,VBD PRP IN,DET NOUN VERB PRON ADP DET NOUN PUNCT ,VERB PRON ADP,-1.3597548927139766,-1.4372332788244242,False,False,False
62,They were given bikes for Christmas.,True,_,PRP VBD VBN NNS IN NNP . ,PRP VBD VBN,PRON VERB VERB NOUN ADP PROPN PUNCT ,PRON VERB VERB,-2.49393297409838,-2.575667799823716,True,False,False
63,Polly was owed a lot of money.,True,_,NNP VBD VBN DT NN IN NN . ,VBD VBN DT,PROPN VERB VERB DET NOUN ADP NOUN PUNCT ,VERB VERB DET,-3.0131480612091948,-1.89940520620176,False,False,False
64,To smoke is bad for you.,False,FV,TO VB VBZ JJ IN PRP . ,TO VB VBZ,PART VERB VERB ADJ ADP PRON PUNCT ,PART VERB VERB,-3.4170635507187765,-3.1849451005724965,True,False,False
65,It's difficult learn English.,False,FV,PRP VBZ JJ VBP NNP . ,VBP NNP .,PRON VERB ADJ VERB PROPN PUNCT ,VERB PROPN PUNCT,-3.899283250680144,-2.667847215777265,True,False,False
66,Let us to see.,False,FV,VB PRP TO VB . ,TO VB .,VERB PRON PART VERB PUNCT ,PART VERB PUNCT,-2.986980752753844,-2.819523508982045,True,False,False
67,The food is more important than the art.,False,UD,DT NN VBZ RBR JJ IN DT NN . ,DT NN .,DET NOUN VERB ADV ADJ ADP DET NOUN PUNCT ,DET NOUN PUNCT,-2.4377755956886595,-2.559100990398349,False,False,False
68,Do you like the big dogs?,False,UD,VBP PRP VB DT JJ NNS . ,DT JJ NNS,VERB PRON VERB DET ADJ NOUN PUNCT ,DET ADJ NOUN,-1.8702120771901816,-1.7317255117475918,True,False,False
69,"That is the yours, and this is the mine.",False,UD,"DT VBZ DT NNS , CC DT VBZ DT NN . ",DT NN .,DET VERB DET NOUN PUNCT CCONJ DET VERB DET NOUN PUNCT ,DET NOUN PUNCT,-2.4377755956886595,-2.559100990398349,False,False,False
70,Do you have car?,False,MD,VBP PRP VB NN . ,VB NN .,VERB PRON VERB NOUN PUNCT ,VERB NOUN PUNCT,-2.5686812395634773,-2.8377117951059274,False,False,False
71,Her sister is dentist.,False,MD,PRP$ NN VBZ NN . ,NN . _,DET NOUN VERB NOUN PUNCT ,NOUN PUNCT _,-0.07062103178661779,-0.05932343929405855,True,False,False
72,I have ones nice American friends.,False,RQ,PRP VBP NNS JJ JJ NNS . ,NNS JJ JJ,PRON VERB NOUN ADJ ADJ NOUN PUNCT ,NOUN ADJ ADJ,-4.9253469081062855,-2.7132099167142454,True,False,False
73,The table is dirty.,True,_,DT NN VBZ JJ . ,NN VBZ JJ,DET NOUN VERB ADJ PUNCT ,NOUN VERB ADJ,-2.5315940465308366,-2.126428721208649,False,False,False
74,"Clean her, please.",False,RA,"VB PRP , UH . ","VB PRP ,",VERB PRON PUNCT INTJ PUNCT ,VERB PRON PUNCT,-2.8469096110344414,-3.203069752013389,False,False,False
75,"They showed me two models, and I bought the small.",False,M,"PRP VBD PRP CD NNS , CC PRP VBD DT JJ . ",JJ . _,PRON VERB PRON NUM NOUN PUNCT CCONJ PRON VERB DET ADJ PUNCT ,ADJ PUNCT _,-0.06258211919273055,-0.05297985246063005,True,False,False
76,I am more old than my sister.,False,IJ,PRP VBP RBR JJ IN PRP$ NN . ,RBR JJ IN,PRON VERB ADV ADJ ADP DET NOUN PUNCT ,ADV ADJ ADP,-1.4176639256360308,-1.9826589753160768,False,False,False
77,Barcelona is the more large city of Catalonia.,False,IJ,NNP VBZ DT RBR JJ NN IN NNP . ,RBR JJ NN,PROPN VERB DET ADV ADJ NOUN ADP PROPN PUNCT ,ADV ADJ NOUN,-1.4354456855785995,-2.673134521478861,False,False,False
78,Rosa isn't French. Is Spanish.,False,MA,NNP VBZ RB NNP . VBZ JJ . ,VBZ JJ .,PROPN VERB ADV PROPN PUNCT VERB ADJ PUNCT ,VERB ADJ PUNCT,-2.4242688669760666,-2.1903536239245125,True,False,False
79,Have gone home because wanted to go to bed.,False,MA,VBP VBN RB IN VBD TO VB IN NN . ,VBP VBN RB,VERB VERB ADV ADP VERB PART VERB ADP NOUN PUNCT ,VERB VERB ADV,-2.6743578125081955,-2.3086081964628336,True,False,False
80,Was raining.,False,MA,VBD VBG . ,VBD VBG .,VERB VERB PUNCT ,VERB VERB PUNCT,-3.368406185867393,-2.875571802729899,True,False,False
81,That's the man who he lives next door to us.,False,UA,DT VBZ DT NN WP PRP VBZ JJ NN IN PRP . ,IN PRP .,DET VERB DET NOUN PRON PRON VERB ADJ NOUN ADP PRON PUNCT ,ADP PRON PUNCT,-2.7639743837117776,-2.651606165798748,True,False,False
82,I saw she.,False,RA,PRP VBD PRP . ,VBD PRP .,PRON VERB PRON PUNCT ,VERB PRON PUNCT,-2.8866929331923346,-3.3414314423570626,False,False,False
83,They know we.,False,RA,PRP VBP PRP . ,PRP . _,PRON VERB PRON PUNCT ,PRON PUNCT _,-0.062259166703002126,-0.059352077537830575,True,False,False
84,How many cakes is it in the cupboard?,False,AGV,WRB JJ NNS VBZ PRP IN DT NN . ,PRP IN DT,ADV ADJ NOUN VERB PRON ADP DET NOUN PUNCT ,PRON ADP DET,-0.8220674571001895,-0.9626415118952404,False,False,False
85,Who is it? Am I.,False,RA,WP VBZ PRP . VBP NN . ,VBP NN .,PRON VERB PRON PUNCT VERB NOUN PUNCT,VERB NOUN PUNCT,-2.6330739871825286,-2.56944990055308,True,False,False
86,They enjoyed very much.,False,MA,PRP VBD RB RB . ,RB RB .,PRON VERB ADV ADV PUNCT ,ADV ADV PUNCT,-2.5678252214775235,-3.0037110783263348,False,False,False
87,She complained herself.,False,UA,PRP VBD PRP . ,PRP . _,PRON VERB PRON PUNCT ,PRON PUNCT _,-0.062259166703002126,-0.059352077537830575,True,False,False
88,I showered me and went out.,False,UA,PRP VBD PRP CC VBD RP . ,PRP CC VBD,PRON VERB PRON CCONJ VERB PART PUNCT ,PRON CCONJ VERB,-3.8051360467597997,-4.510890294203503,False,False,False
89,Bill cut himself the finger.,False,RA,NNP VBD PRP DT NN . ,PRP DT NN,PROPN VERB PRON DET NOUN PUNCT ,PRON DET NOUN,-1.1526700916405457,-1.3106053611373751,False,False,False
90,Sara and Joe had both got his shoes wet.,False,RA,NNP CC NNP VBD DT VBN PRP$ NNS JJ . ,PRP$ NNS JJ,PROPN CCONJ PROPN VERB DET VERB DET NOUN ADJ PUNCT ,DET NOUN ADJ,-4.459230454689737,-1.8518576324477527,True,False,False
91,The my cousin is in Portugal.,False,UD,DT PRP$ NN VBZ IN NNP . ,DT PRP$ NN,DET DET NOUN VERB ADP PROPN PUNCT ,DET DET NOUN,-1.2677182904704436,-1.1497010280105342,True,False,False
92,The girls we saw looked quite happy.,True,_,DT NNS PRP VBD VBD RB JJ . ,NNS PRP VBD,DET NOUN PRON VERB VERB ADV ADJ PUNCT ,NOUN PRON VERB,-2.166442010517774,-2.217769379285055,True,False,False
93,Did you like the woman we spoke to?,True,_,VBD PRP VB DT NN PRP VBD IN . ,VBD IN .,VERB PRON VERB DET NOUN PRON VERB ADP PUNCT ,VERB ADP PUNCT,-4.370072174099433,-4.5188415384002765,True,False,False
94,We are going to have the house painted.,True,_,PRP VBP VBG TO VB DT NN VBN . ,TO VB DT,PRON VERB VERB PART VERB DET NOUN VERB PUNCT ,PART VERB DET,-1.1916221303296899,-0.9907400405582606,False,False,False
95,We are going to make paint the house.,False,MT,PRP VBP VBG TO VB NN DT NN . ,TO VB NN,PRON VERB VERB PART VERB NOUN DET NOUN PUNCT ,PART VERB NOUN,-2.3616820911552816,-2.6435631024642587,False,False,False
96,They refused helping their neighbours.,False,FV,PRP VBD VBG PRP$ NNS . ,VBG PRP$ NNS,PRON VERB VERB DET NOUN PUNCT ,VERB DET NOUN,-1.3208145218594554,-1.266872289346517,True,False,False
97,I'll never forget to see that accident.,False,FV,PRP MD RB VB TO VB DT NN . ,TO VB DT,PRON AUX ADV VERB PART VERB DET NOUN PUNCT ,PART VERB DET,-1.1916221303296899,-0.9907400405582606,True,False,False
98,She explained me the problem.,False,MT,PRP VBD PRP DT NN . ,PRP DT NN,PRON VERB PRON DET NOUN PUNCT ,PRON DET NOUN,-1.1526700916405457,-1.3106053611373751,False,False,False
99,They suggested Jim to take the job.,False,W,PRP VBD NNP TO VB DT NN . ,NNP TO VB,PRON VERB PROPN PART VERB DET NOUN PUNCT ,PROPN PART VERB,-0.05810935471553522,-0.03926804976976389,True,False,False
100,I am asking that they go.,False,W,PRP VBP VBG IN PRP VBP . ,IN PRP VBP,PRON VERB VERB ADP PRON VERB PUNCT ,ADP PRON VERB,-1.1726790448565525,-1.7067622142073668,False,False,False
101,They ordered her that she should go.,False,W,PRP VBD PRP IN PRP MD VB . ,PRP IN PRP,PRON VERB PRON ADP PRON VERB VERB PUNCT ,PRON ADP PRON,-2.486028670386708,-3.568334558702674,False,False,False
102,They ordered her that she went.,False,W,PRP VBD PRP IN PRP VBD . ,PRP IN PRP,PRON VERB PRON ADP PRON VERB PUNCT ,PRON ADP PRON,-2.486028670386708,-3.568334558702674,False,False,False
103,I want that you don't go.,False,X,PRP VBP IN PRP VBP RB VB . ,IN PRP VBP,PRON VERB ADP PRON VERB ADV VERB PUNCT ,ADP PRON VERB,-1.1726790448565525,-1.7067622142073668,False,False,False
104,I want that you not go.,False,X,PRP VBP IN PRP RB VBP . ,IN PRP RB,PRON VERB ADP PRON ADV VERB PUNCT ,ADP PRON ADV,-3.162267915506696,-3.697016680267335,False,False,False
105,The captain ordered the soldiers that they didn't retreat.,False,X,DT NN VBD DT NNS IN PRP VBD RB VB . ,IN PRP VBD,DET NOUN VERB DET NOUN ADP PRON VERB ADV VERB PUNCT ,ADP PRON VERB,-2.5238235606400075,-2.684123144010633,False,False,False
106,I don't know where does Mary live.,False,UV,PRP VBP RB VB WRB VBZ NNP VB . ,VBZ NNP VB,PRON VERB ADV VERB ADV VERB PROPN VERB PUNCT ,VERB PROPN VERB,-4.084171455470266,-8.73059482948844,False,False,False
107,They asked me how much did I earn.,False,UV,PRP VBD PRP WRB JJ VBD PRP VB . ,VBD PRP VB,PRON VERB PRON ADV ADJ VERB PRON VERB PUNCT ,VERB PRON VERB,-2.9769929683876226,-8.966943070495608,False,False,False
108,They took to their mother to the hospital.,False,UT,PRP VBD IN PRP$ NN IN DT NN . ,IN PRP$ NN,PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ,ADP DET NOUN,-0.7600925547880116,-0.6489800324913759,True,False,False
109,For what have you come?,False,W,IN WP VBP PRP VB . ,IN WP VBP,ADP PRON VERB PRON VERB PUNCT ,ADP PRON VERB,-3.4603070484771954,-1.489198142668699,True,False,False
110,I don't know who they're working for.,True,_,PRP VBP RB VB WP PRP VBP VBG IN . ,VBG IN .,PRON VERB ADV VERB PRON PRON VERB VERB ADP PUNCT ,VERB ADP PUNCT,-4.257720281057826,-4.3787788546517685,True,False,False
111,Who does Fred sit next to?,True,_,WP VBZ NNP VB RB IN . ,RB IN .,PRON VERB PROPN VERB ADV ADP PUNCT ,ADV ADP PUNCT,-5.181570312515138,-4.799861991964896,False,False,False
112,"After to see the film, we went for a meal.",False,FV,"IN TO VB DT NN , PRP VBD IN DT NN . ",TO VB DT,ADP PART VERB DET NOUN PUNCT PRON VERB ADP DET NOUN PUNCT ,PART VERB DET,-1.1916221303296899,-0.9907400405582606,True,False,False
113,I've got two news for you.,False,CN,PRP VB VBN CD NN IN PRP . ,CD NN IN,PRON VERB VERB NUM NOUN ADP PRON PUNCT ,NUM NOUN ADP,-1.0715450089979672,-0.539105707265855,True,False,False
