,incorrect_trigram_penn,error_type,count
200,IN DT NN,RT,168
305,IN PRP$ NN,RT,54
1303,VB DT NN,RV,37
267,IN NNP IN,RT,33
950,PRP MD VB,MP,29
321,IN TO VB,UT,28
1811,VBP TO VB,TV,26
213,IN DT NNS,RT,26
554,NN . _,S,23
592,NN IN DT,RN,22
206,IN DT NN,UT,22
1326,VB IN DT,RV,20
594,NN IN DT,S,19
452,JJ TO VB,S,15
713,NN TO VB,S,15
552,NN . _,RN,15
953,PRP MD VB,RA,15
613,NN IN NN,RN,14
489,MD VB IN,TV,14
283,IN PRP .,RT,14
521,"NN , IN",MD,14
1254,TO VB IN,FV,14
280,"IN PRP ,",RT,13
391,JJ IN DT,S,13
484,MD VB DT,TV,13
615,NN IN NN,S,12
1300,VB DT NN,FV,12
191,IN DT NN,ID,12
197,IN DT NN,R,12
1892,VBZ RB JJ,MA,12
824,"NNS , IN",AGN,12
1304,VB DT NN,S,11
1245,TO VB DT,FV,11
1443,VBD DT NN,RV,11
505,MD VB TO,TV,11
313,IN PRP$ NNS,RT,11
430,JJ NN IN,RJ,11
1721,VBP DT NN,TV,11
432,JJ NN IN,S,10
1388,VB PRP$ NN,RV,10
1919,WDT NN IN,RQ,10
250,IN NN IN,RT,10
996,PRP VBP IN,MP,9
194,IN DT NN,MP,9
376,JJ . _,S,9
216,IN DT NNS,UT,9
248,IN NN IN,R,9
531,"NN , RB",S,9
1485,VBD PRP$ NN,S,8
1926,WDT VBZ DT,MP,8
1043,PRP$ NN .,MT,8
1323,VB IN DT,FV,8
662,NN NN IN,MD,8
632,NN IN NNS,AGN,8
389,JJ IN DT,RJ,8
1547,VBG DT NN,IV,8
1446,VBD DT NN,TV,8
685,NN NNS IN,AGN,7
641,NN IN NNS,S,7
204,IN DT NN,U,7
1063,PRP$ NN RB,MA,7
954,PRP MD VB,TV,7
981,PRP VBD DT,RA,7
374,JJ . _,RJ,7
1955,_ _ _,MP,7
1172,RB RB DT,MP,7
1507,VBD TO VB,TV,7
1136,RB JJ .,RY,7
1149,RB MD VB,W,7
1327,VB IN DT,S,7
1375,VB PRP RB,FV,6
655,NN MD VB,AGN,6
1366,VB PRP DT,RV,6
102,DT JJ NNS,UD,6
597,NN IN DT,W,6
287,IN PRP CC,RT,6
294,IN PRP VBZ,MP,6
588,NN IN DT,MD,6
584,NN IN DT,FN,6
583,NN IN DT,DN,6
546,NN . _,MD,6
581,NN IN DT,AGN,6
298,IN PRP$ NN,ID,6
301,IN PRP$ NN,MP,6
525,"NN , IN",S,6
1546,VBG DT NN,FV,6
1713,VBP DT NN,AGV,6
451,JJ TO VB,RJ,6
1572,VBG IN PRP$,RV,6
1601,VBG PRP$ NN,FV,6
1809,VBP TO VB,RV,6
1696,VBN TO VB,S,6
711,NN TO VB,RN,6
985,PRP VBD IN,MP,6
1447,VBD DT NN,W,5
523,"NN , IN",RN,5
956,PRP MD VB,UA,5
558,NN . _,UN,5
1097,RB . _,UY,5
241,IN JJ NN,RT,5
1561,VBG IN NN,IV,5
967,PRP TO VB,MT,5
1140,RB JJ IN,MV,5
516,"NN , DT",MD,5
195,IN DT NN,MV,5
512,NN '' IN,UN,5
1513,VBD VBG IN,TV,5
500,MD VB RB,TV,5
1132,RB JJ .,DY,5
1870,VBZ JJ TO,MA,5
1549,VBG DT NN,MP,5
481,MD VB DT,MA,5
114,DT NN CC,UD,5
1849,VBZ DT NN,W,5
1238,TO VB .,FV,5
427,JJ NN IN,MD,5
1329,VB IN NN,FV,5
1266,TO VB RB,FV,5
1808,VBP TO VB,MV,5
1615,VBG TO VB,IV,5
721,NN VBD IN,S,5
631,NN IN NNP,W,5
629,NN IN NNP,SA,5
741,NN VBZ IN,RN,5
1551,VBG DT NN,RV,5
1695,VBN TO VB,RV,5
1094,RB . _,RY,5
412,"JJ NN ,",MD,5
1389,VB PRP$ NN,S,5
1410,VB TO VB,RV,5
882,NNS NNS IN,IJ,5
309,IN PRP$ NN,W,4
1944,WRB PRP VBD,MP,4
308,IN PRP$ NN,UT,4
1819,VBP VBG IN,TV,4
1855,VBZ IN DT,MA,4
201,IN DT NN,RY,4
1845,VBZ DT NN,AGV,4
1829,VBP VBN IN,TV,4
215,IN DT NNS,U,4
1735,VBP IN PRP$,TV,4
1765,VBP PRP .,TV,4
1769,VBP PRP DT,TV,4
1128,"RB JJ ,",DY,4
1440,VBD DT NN,MA,4
325,IN VBG IN,RT,4
667,NN NN IN,S,4
1088,RB . _,DY,4
1072,PRP$ RB .,DA,4
1071,"PRP$ RB ,",DA,4
1055,PRP$ NN IN,MT,4
957,PRP MD VB,W,4
1185,RB TO VB,UY,4
935,PRP . _,MT,4
1250,TO VB DT,TV,4
742,NN VBZ IN,S,4
679,NN NN RB,MD,4
658,NN MD VB,RN,4
1603,VBG PRP$ NN,MT,4
1357,VB NN IN,RV,4
639,NN IN NNS,RN,4
628,NN IN NNP,S,4
1386,VB PRP$ NN,FV,4
595,NN IN DT,SX,4
591,NN IN DT,R,4
543,NN . _,FN,4
1505,VBD TO VB,RV,4
488,MD VB IN,RV,4
1560,VBG IN NN,FV,4
192,IN DT NN,MA,4
0,'' IN DT,MP,4
112,DT NN CC,RD,4
124,DT NN RB,R,4
111,DT NN CC,R,4
126,DT NN RB,UD,4
69,CD IN NNP,MP,4
1396,VB PRP$ NNS,S,3
919,NNS WDT DT,RN,3
1391,VB PRP$ NN,TV,3
1648,VBN DT NN,FV,3
109,DT NN CC,MT,3
941,PRP DT NNS,MT,3
260,IN NN RB,RT,3
948,PRP MD VB,MC,3
401,JJ IN NNS,S,3
255,IN NN PRP,MP,3
1782,VBP PRP$ NN,TV,3
1338,VB IN PRP$,FV,3
247,IN NN IN,MP,3
246,IN NN IN,ID,3
1909,VBZ VBN IN,AGV,3
986,PRP VBD IN,RA,3
1333,VB IN NNP,FV,3
158,DT VBZ DT,RA,3
1328,VB IN DT,TV,3
569,NN CC DT,S,3
1010,PRP VBZ DT,RA,3
1011,PRP VBZ DT,UA,3
234,IN IN DT,RY,3
1014,PRP VBZ IN,RA,3
1395,VB PRP$ NNS,RV,3
1404,"VB RP ,",MP,3
1667,VBN IN PRP$,RV,3
659,NN MD VB,S,3
340,"JJ , DT",S,3
738,NN VBZ DT,S,3
1553,VBG DT NN,TV,3
1555,VBG DT NNS,FV,3
768,"NNP , _",S,3
691,NN NNS RB,AGN,3
358,JJ . IN,S,3
680,NN NN RB,RP,3
799,NNP PRP VBD,S,3
665,NN NN IN,RN,3
1492,VBD RB DT,AGV,3
811,NNP VBZ NN,RP,3
1891,VBZ RB JJ,AGV,3
1810,VBP TO VB,S,3
1868,VBZ JJ IN,MA,3
300,IN PRP$ NN,MA,3
1465,VBD JJ IN,RV,3
1458,VBD IN PRP$,TV,3
627,NN IN NNP,RP,3
860,NNS IN NNP,RN,3
620,NN IN NN,W,3
614,NN IN NN,RP,3
609,NN IN NN,MD,3
1639,VBN . _,RV,3
1310,VB DT NNS,RV,3
1179,RB TO VB,DJ,3
1306,VB DT NN,TV,3
518,"NN , DT",S,3
1685,VBN PRP$ NN,S,3
433,JJ NN IN,SX,3
530,"NN , RB",FN,3
1090,RB . _,MA,3
1095,RB . _,S,3
524,"NN , IN",RP,3
1762,"VBP PRP ,",TV,3
564,NN CC DT,AGN,3
1116,RB IN DT,RY,3
538,NN . IN,RP,3
1117,RB IN DT,S,3
514,"NN , DT",AGN,3
1130,"RB JJ ,",X,3
1711,VBP CD NNS,TV,3
1718,VBP DT NN,RV,3
1719,VBP DT NN,S,3
179,IN CD NNS,UT,3
177,IN CD NNS,RT,3
207,IN DT NN,W,3
519,"NN , IN",AGN,3
1291,VB . _,RV,3
421,"JJ NN ,",S,3
1302,VB DT NN,R,3
225,IN DT VBZ,MP,3
542,NN . _,DN,3
553,NN . _,RP,3
1036,PRP$ JJ NN,MT,3
419,"JJ NN ,",RJ,3
582,NN IN DT,DJ,2
486,MD VB IN,MA,2
92,DT IN DT,RA,2
670,NN NN IN,UN,2
666,NN NN IN,RP,2
1723,VBP DT NNS,MA,2
663,NN NN IN,MP,2
1666,VBN IN NNS,S,2
1722,VBP DT NNS,AGV,2
556,NN . _,SX,2
1602,VBG PRP$ NN,IV,2
1605,VBG PRP$ NNS,RV,2
652,NN JJ HYPH,S,2
1664,VBN IN NNP,RV,2
507,MD VB VB,RP,2
131,"DT NNP ,",UD,2
91,DT IN DT,R,2
646,NN IN VB,MD,2
1564,VBG IN NN,RV,2
470,JJR NN .,MD,2
724,NN VBD JJ,RN,2
1734,VBP IN PRP$,S,2
1552,VBG DT NN,S,2
472,JJR PRP$ NN,W,2
1725,VBP DT NNS,TV,2
1557,VBG DT NNS,MP,2
89,DT CD NNS,AGD,2
709,NN TO VB,MQ,2
1581,VBG NN IN,RV,2
708,NN TO VB,MD,2
1571,VBG IN PRP$,RT,2
700,NN RB JJ,W,2
693,NN PRP VBZ,S,2
557,NN . _,TV,2
1578,VBG NN IN,FV,2
483,MD VB DT,RV,2
1579,VBG NN IN,MP,2
1610,VBG RB IN,RV,2
1675,VBN NN IN,TV,2
1617,VBG TO VB,MP,2
1650,VBN DT NN,RV,2
547,NN . _,MJ,2
121,DT NN PRP$,W,2
596,NN IN DT,UN,2
1686,VBN PRP$ NN,TV,2
108,DT NN CC,MA,2
1659,VBN IN NN,S,2
541,NN . _,DJ,2
1651,VBN DT NN,S,2
1647,VBN DT IN,RV,2
536,NN . IN,MD,2
537,NN . IN,RN,2
115,DT NN DT,R,2
585,NN IN DT,FV,2
1684,VBN PRP$ NN,FV,2
540,NN . _,AGN,2
1550,VBG DT NN,MT,2
527,"NN , IN",UN,2
526,"NN , IN",SX,2
1618,VBG TO VB,MV,2
626,NN IN NNP,RN,2
113,DT NN CC,SX,2
1620,VBG TO VB,S,2
636,NN IN NNS,MD,2
570,NN CC DT,SX,2
634,NN IN NNS,FN,2
633,NN IN NNS,DN,2
100,DT JJ NNS,R,2
623,NN IN NNP,MA,2
1644,VBN CD NNS,TV,2
575,NN CC VBZ,RP,2
617,NN IN NN,SX,2
612,NN IN NN,R,2
551,NN . _,R,2
607,NN IN NN,ID,2
1640,VBN . _,S,2
603,NN IN IN,S,2
725,NN VBD JJ,S,2
1500,VBD RB TO,X,2
31,. RB PRP,W,2
1305,VB DT NN,SX,2
1260,TO VB IN,UV,2
1263,TO VB NNS,FV,2
1268,TO VB RB,RV,2
1056,PRP$ NN IN,R,2
1280,UH PRP VBZ,S,2
1051,PRP$ NN CC,MT,2
1295,VB CD NNS,FV,2
1032,PRP$ DT NN,UD,2
53,CC PRP VBD,MP,2
1028,PRP VBZ VBN,UA,2
1026,PRP VBZ VBN,RA,2
52,CC PRP VBD,MA,2
1021,PRP VBZ PRP$,RA,2
1078,"RB , DT",MP,2
1013,PRP VBZ IN,MP,2
1322,VB IN DT,DV,2
49,CC NN IN,MP,2
48,CC NN .,RC,2
992,PRP VBP .,MA,2
980,PRP VBD DT,MP,2
1341,VB IN PRP$,RV,2
976,PRP VB IN,RA,2
969,PRP TO VB,UA,2
1351,VB JJ IN,RV,2
963,PRP RB JJ,R,2
1356,VB NN IN,MD,2
1259,TO VB IN,TV,2
1256,TO VB IN,MV,2
1367,VB PRP DT,S,2
1129,"RB JJ ,",RY,2
1176,RB RB JJ,X,2
1174,RB RB JJ,M,2
1187,RB TO VB,X,2
1165,RB PRP VBD,W,2
1189,RB VB DT,RY,2
1162,RB PRP VBD,MP,2
1160,RB NNS JJ,RD,2
1154,RB NN IN,DJ,2
1197,RB VBD RB,DY,2
1139,RB JJ IN,MA,2
1135,RB JJ .,MV,2
1214,RB VBN IN,UY,2
1124,RB IN NNP,RY,2
1255,TO VB IN,M,2
1120,RB IN DT,W,2
1113,RB IN DT,R,2
1107,RB DT NNS,RP,2
1234,RP TO VB,UT,2
1236,"TO VB ,",FV,2
1244,TO VB CD,FV,2
1247,TO VB DT,MY,2
1089,RB . _,FJ,2
1249,TO VB DT,RV,2
1251,TO VB DT,UV,2
1083,"RB , IN",R,2
55,CC PRP VBD,UC,2
1359,VB NN RB,MD,2
1370,VB PRP NN,FV,2
1543,VBG DT IN,FV,2
1516,VBD VBN CD,AGV,2
1486,VBD PRP$ NN,TV,2
1491,VBD RB .,TV,2
1493,VBD RB DT,RV,2
1494,VBD RB DT,TV,2
798,NNP PRP VBD,RP,2
794,NNP NNP PRP,MP,2
1744,VBP MD VB,MP,2
789,NNP NNP .,MD,2
781,NNP IN IN,RP,2
780,NNP IN DT,S,2
779,NNP IN DT,RP,2
1515,VBD VBG RB,AGV,2
1518,VBD VBN DT,TV,2
810,NNP VBZ JJ,MD,2
1522,VBD VBN NN,UV,2
761,"NNP , IN",RP,2
1525,VBD VBN PRP$,TV,2
1526,VBD VBN RB,TV,2
751,NN WDT PRP,S,2
749,NN WDT PRP,FN,2
747,NN VBZ TO,RN,2
746,NN VBZ PRP$,S,2
743,NN VBZ JJ,MD,2
87,DT . _,RA,2
1540,VBG CD NNS,MT,2
736,NN VBZ DT,AGN,2
809,NNP VBZ DT,RP,2
812,NNP VBZ NN,S,2
1373,VB PRP PRP$,SX,2
870,"NNS JJ ,",MP,2
937,PRP . _,RA,2
931,PDT DT NN,W,2
41,CC DT NNS,RC,2
923,NNS WDT PRP,RN,2
1401,VB RB IN,W,2
1411,VB TO VB,S,2
1412,VB TO VB,TV,2
886,NNS PRP VBP,AGN,2
1425,VB WP VBD,FV,2
881,NNS NNS .,S,2
880,NNS NNS .,IQ,2
1436,VBD DT IN,FV,2
1438,VBD DT NN,AS,2
1481,VBD PRP VBP,S,2
1441,VBD DT NN,MV,2
858,NNS IN NNP,FN,2
857,NNS IN NN,W,2
856,NNS IN NN,S,2
853,NNS IN IN,MD,2
1452,VBD DT NNS,TV,2
1457,VBD IN PRP$,RV,2
843,NNS CC DT,S,2
839,NNS CC DT,AGN,2
1468,VBD NN IN,TV,2
828,"NNS , NNS",S,2
826,"NNS , IN",S,2
463,JJ WRB PRP,S,2
171,IN . PRP,SX,2
458,JJ VBG IN,W,2
1847,VBZ DT NN,RV,2
352,JJ . CC,S,2
1830,VBP VBN PRP$,AGV,2
1833,VBP VBN RB,TV,2
339,"JJ , DT",RJ,2
1837,VBP VBP TO,RV,2
334,IN WDT NN,UT,2
332,IN WDT NN,RT,2
8,", IN DT",MC,2
1887,VBZ RB DT,W,2
1853,VBZ IN DT,AGV,2
316,IN RB IN,UT,2
314,IN PRP$ NNS,UT,2
1857,VBZ IN DT,TV,2
311,IN PRP$ NNS,ID,2
1865,VBZ JJ .,RV,2
299,IN PRP$ NN,M,2
365,JJ . RB,S,2
373,JJ . _,R,2
1806,VBP TO VB,FV,2
141,DT PRP VBD,SX,2
422,"JJ NN ,",UJ,2
1774,VBP PRP VBP,RV,2
414,"JJ NN ,",MQ,2
413,"JJ NN ,",MP,2
411,"JJ NN ,",ID,2
1780,VBP PRP$ NN,RV,2
408,"JJ NN ,",AGQ,2
400,JJ IN NNP,MD,2
399,JJ IN NN,S,2
1791,VBP RB JJ,AGV,2
393,JJ IN DT,TV,2
139,DT NNS RB,UD,2
140,DT NNS VBZ,R,2
387,JJ IN DT,DJ,2
1796,VBP RB JJ,TV,2
284,IN PRP .,U,2
278,"IN PRP ,",R,2
428,JJ NN IN,MT,2
188,IN DT IN,RT,2
202,IN DT NN,S,2
1938,WRB DT NN,R,2
1939,WRB DT NN,RC,2
199,IN DT NN,RP,2
196,IN DT NN,MY,2
169,"IN , VBD",RT,2
1947,WRB PRP VBD,R,2
187,IN DT CD,U,2
269,IN NNP PRP,RT,2
184,IN DT .,RT,2
183,"IN DT ,",RT,2
182,"IN DT ,",MP,2
1950,WRB PRP$ NN,R,2
178,IN CD NNS,SX,2
176,IN CD IN,RT,2
1954,_ _ _,M,2
162,DT VBZ VBN,RA,2
209,IN DT NNS,ID,2
211,IN DT NNS,R,2
1930,WP DT NN,MP,2
265,IN NNP IN,MP,2
263,"IN NNP ,",RT,2
257,IN NN PRP,RT,2
256,IN NN PRP,R,2
251,IN NN IN,UT,2
249,IN NN IN,RP,2
242,IN JJ NN,UT,2
239,IN JJ NN,R,2
238,IN JJ NN,ID,2
235,IN IN DT,SX,2
233,IN IN DT,RT,2
232,IN IN DT,R,2
1923,WDT VBD DT,MP,2
1925,WDT VBP IN,RA,2
219,IN DT PRP,MC,2
423,JJ NN DT,MQ,2
674,NN NN PRP,S,2
1768,VBP PRP DT,MV,2
437,JJ NNS IN,MV,2
16,", RB PRP",RP,2
449,JJ TO VB,MD,2
1748,VBP NN IN,RV,2
1746,VBP NN .,RV,2
434,JJ NN IN,UJ,2
440,JJ NNS JJ,RP,2
1353,VB JJ IN,UV,1
1355,VB NN IN,AS,1
1904,VBZ VBN DT,AGV,1
1354,VB JJ RB,FV,1
1905,VBZ VBN DT,MA,1
1352,VB JJ IN,S,1
46,"CC NN ,",MP,1
1350,VB JJ IN,AS,1
1906,VBZ VBN DT,MP,1
1349,VB JJ DT,M,1
1348,VB JJ CC,UV,1
1347,VB JJ .,RV,1
1346,VB JJ .,MP,1
1345,"VB JJ ,",FV,1
1717,VBP DT NN,MV,1
1716,VBP DT NN,MA,1
1358,VB NN IN,TV,1
1368,VB PRP MD,MY,1
1374,VB PRP RB,AGV,1
1900,VBZ TO VB,TV,1
1372,VB PRP NNS,RV,1
1371,VB PRP NN,S,1
1901,VBZ VBG .,RV,1
1369,VB PRP NN,AGV,1
1902,VBZ VBG DT,RV,1
1903,VBZ VBG IN,TV,1
1755,VBP NNP WP,TV,1
45,CC JJ IN,RC,1
1365,VB PRP DT,FV,1
1364,VB PRP DT,DV,1
1363,VB NNP CC,TV,1
1362,"VB NNP ,",RV,1
1361,VB NN RB,W,1
1360,VB NN RB,RV,1
1344,VB IN WP,RV,1
1342,VB IN PRP$,S,1
1343,VB IN WP,FV,1
44,"CC JJ ,",R,1
1324,VB IN DT,ID,1
50,CC NN IN,SX,1
1913,VBZ WDT VBZ,TV,1
1321,"VB IN ,",RV,1
1320,VB DT ``,RV,1
1319,VB DT VBD,MA,1
1318,VB DT RBS,TV,1
1317,VB DT PRP$,S,1
1316,VB DT PRP$,RV,1
1315,VB DT PRP$,FV,1
1314,VB DT PRP$,AGV,1
1914,VBZ WRB JJ,MN,1
1313,VB DT NNS,W,1
1752,"VBP NNP ,",AGV,1
1751,VBP NN JJ,TV,1
1312,VB DT NNS,TV,1
1311,VB DT NNS,S,1
1325,VB IN DT,R,1
1753,VBP NNP .,TV,1
18,", VBD IN",DJ,1
1910,VBZ VBN IN,MA,1
1907,VBZ VBN DT,R,1
1754,VBP NNP IN,TV,1
1340,VB IN PRP$,MA,1
1339,VB IN PRP$,M,1
1908,VBZ VBN DT,TV,1
1337,VB IN PRP$,DV,1
1336,VB IN PDT,TV,1
1335,VB IN PDT,RV,1
1912,VBZ VBN RB,AGV,1
1334,VB IN NNP,TV,1
1911,VBZ VBN PRP$,AGV,1
1332,VB IN NN,W,1
1331,VB IN NN,SA,1
1720,VBP DT NN,SX,1
1330,VB IN NN,RV,1
47,"CC NN ,",UC,1
1715,VBP DT NN,DV,1
1899,VBZ TO VB,MA,1
1376,VB PRP RB,M,1
1422,VB VBZ NN,RV,1
1428,VBD . CC,RV,1
1427,"VBD , IN",IV,1
1426,VB WP VBZ,RV,1
1712,VBP DT IN,TV,1
1888,VBZ RB IN,R,1
1424,VB WDT PRP,SX,1
1423,VB WDT MD,M,1
1421,VB VBZ IN,FV,1
1886,VBZ RB DT,M,1
1420,VB VBN RB,MV,1
1419,VB VBN JJ,RV,1
1418,VB VBN DT,R,1
1417,VB VBG IN,S,1
1416,VB VBG IN,FV,1
1415,VB VBG DT,FV,1
1414,VB VB IN,UV,1
1756,VBP NNS RB,UV,1
1429,VBD . NNP,TV,1
1889,VBZ RB IN,RV,1
1883,VBZ PRP$ NN,MA,1
1445,VBD DT NN,SX,1
1444,VBD DT NN,S,1
38,CC DT NN,RC,1
1442,VBD DT NN,R,1
1710,VBP CD NNS,RV,1
39,CC DT NN,UC,1
1439,VBD DT NN,IV,1
1884,"VBZ RB ,",UV,1
