,id,total,precision,recall,f1,span,error_type
10,RP,336,0.65,0.3,0.41,Padded error,Replace punctuation \break (n = 336)
10,RP,336,0.69,0.43,0.53,Error + unigram,Replace punctuation \break (n = 336)
10,RP,336,0.62,0.23,0.34,Error + bigram,Replace punctuation \break (n = 336)
2,TV,267,0.7,0.21,0.32,Padded error,Incorrect tense of verb \break (n = 267)
2,TV,267,0.78,0.36,0.49,Error + unigram,Incorrect tense of verb \break (n = 267)
2,TV,267,0.73,0.22,0.33,Error + bigram,Incorrect tense of verb \break (n = 267)
6,MD,209,1.0,0.43,0.6,Padded error,Missing determiner \break (n = 209)
6,MD,209,0.97,0.33,0.5,Error + unigram,Missing determiner \break (n = 209)
6,MD,209,1.0,0.35,0.52,Error + bigram,Missing determiner \break (n = 209)
16,MP,152,0.88,0.37,0.52,Padded error,Missing punctuation \break (n = 152)
16,MP,152,0.81,0.18,0.3,Error + unigram,Missing punctuation \break (n = 152)
16,MP,152,0.85,0.24,0.37,Error + bigram,Missing punctuation \break (n = 152)
11,FV,132,0.41,0.28,0.33,Padded error,Wrong verb form \break (n = 132)
11,FV,132,0.42,0.28,0.33,Error + unigram,Wrong verb form \break (n = 132)
11,FV,132,0.42,0.19,0.26,Error + bigram,Wrong verb form \break (n = 132)
18,FN,93,0.84,0.42,0.56,Padded error,Wrong noun form \break (n = 93)
18,FN,93,0.73,0.6,0.66,Error + unigram,Wrong noun form \break (n = 93)
18,FN,93,0.78,0.44,0.56,Error + bigram,Wrong noun form \break (n = 93)
20,AGV,88,0.81,0.24,0.37,Padded error,Verb agreement error \break (n = 88)
20,AGV,88,0.75,0.28,0.41,Error + unigram,Verb agreement error \break (n = 88)
20,AGV,88,0.8,0.15,0.25,Error + bigram,Verb agreement error \break (n = 88)
22,UD,75,0.0,0.0,0.0,Padded error,Unnecessary determiner \break (n = 75)
22,UD,75,0.0,0.0,0.0,Error + unigram,Unnecessary determiner \break (n = 75)
22,UD,75,0.0,0.0,0.0,Error + bigram,Unnecessary determiner \break (n = 75)
3,MT,75,0.93,0.4,0.56,Padded error,Missing preposition \break (n = 75)
3,MT,75,0.76,0.28,0.41,Error + unigram,Missing preposition \break (n = 75)
3,MT,75,0.78,0.27,0.4,Error + bigram,Missing preposition \break (n = 75)
1,UP,65,0.15,0.67,0.25,Padded error,Unnecessary punctuation \break (n = 65)
1,UP,65,0.17,0.83,0.29,Error + unigram,Unnecessary punctuation \break (n = 65)
1,UP,65,0.05,0.17,0.08,Error + bigram,Unnecessary punctuation \break (n = 65)
13,AGN,62,0.57,0.2,0.29,Padded error,Noun agreement error \break (n = 62)
13,AGN,62,0.58,0.34,0.43,Error + unigram,Noun agreement error \break (n = 62)
13,AGN,62,0.58,0.27,0.37,Error + bigram,Noun agreement error \break (n = 62)
17,MA,62,0.68,0.32,0.43,Padded error,Missing anaphor \break (n = 62)
17,MA,62,0.5,0.12,0.2,Error + unigram,Missing anaphor \break (n = 62)
17,MA,62,0.73,0.2,0.31,Error + bigram,Missing anaphor \break (n = 62)
7,UT,59,0.22,0.29,0.25,Padded error,Unnecessary preposition \break (n = 59)
7,UT,59,0.2,0.57,0.3,Error + unigram,Unnecessary preposition \break (n = 59)
7,UT,59,0.2,0.43,0.27,Error + bigram,Unnecessary preposition \break (n = 59)
19,M,57,0.63,0.3,0.41,Padded error,Missing error \break (n = 57)
19,M,57,0.67,0.3,0.41,Error + unigram,Missing error \break (n = 57)
19,M,57,0.69,0.28,0.39,Error + bigram,Missing error \break (n = 57)
36,MV,54,0.73,0.23,0.35,Padded error,Missing verb \break (n = 54)
36,MV,54,0.71,0.21,0.33,Error + unigram,Missing verb \break (n = 54)
36,MV,54,0.89,0.17,0.29,Error + bigram,Missing verb \break (n = 54)
8,DJ,47,1.0,0.51,0.68,Padded error,Derivation of adjective error \break (n = 47)
8,DJ,47,0.89,0.59,0.71,Error + unigram,Derivation of adjective error \break (n = 47)
8,DJ,47,0.81,0.41,0.55,Error + bigram,Derivation of adjective error \break (n = 47)
25,W,44,0.67,0.17,0.27,Padded error,Word order error \break (n = 44)
25,W,44,0.7,0.29,0.41,Error + unigram,Word order error \break (n = 44)
25,W,44,0.83,0.21,0.33,Error + bigram,Word order error \break (n = 44)
5,UV,44,0.62,0.31,0.42,Padded error,Unnecessary verb \break (n = 44)
5,UV,44,0.79,0.69,0.73,Error + unigram,Unnecessary verb \break (n = 44)
5,UV,44,0.62,0.31,0.42,Error + bigram,Unnecessary verb \break (n = 44)
29,RD,42,0.75,0.17,0.27,Padded error,Replace determiner \break (n = 42)
29,RD,42,0.0,0.0,0.0,Error + unigram,Replace determiner \break (n = 42)
29,RD,42,0.67,0.22,0.33,Error + bigram,Replace determiner \break (n = 42)
21,RA,33,0.0,0.0,0.0,Padded error,Replace anaphor \break (n = 33)
21,RA,33,0.0,0.0,0.0,Error + unigram,Replace anaphor \break (n = 33)
21,RA,33,0.0,0.0,0.0,Error + bigram,Replace anaphor \break (n = 33)
34,DN,29,0.5,0.1,0.17,Padded error,Derivation of noun error \break (n = 29)
34,DN,29,0.6,0.3,0.4,Error + unigram,Derivation of noun error \break (n = 29)
34,DN,29,0.75,0.3,0.43,Error + bigram,Derivation of noun error \break (n = 29)
14,U,25,1.0,0.12,0.22,Padded error,Unnecessary error \break (n = 25)
14,U,25,0.25,0.25,0.25,Error + unigram,Unnecessary error \break (n = 25)
14,U,25,0.33,0.25,0.29,Error + bigram,Unnecessary error \break (n = 25)
35,DA,21,0.0,0.0,0.0,Padded error,Derivation of anaphor error \break (n = 21)
35,DA,21,0.0,0.0,0.0,Error + unigram,Derivation of anaphor error \break (n = 21)
35,DA,21,0.5,1.0,0.67,Error + bigram,Derivation of anaphor error \break (n = 21)
27,UA,20,0.0,0.0,0.0,Padded error,Unnecessary anaphor \break (n = 20)
27,UA,20,0.0,0.0,0.0,Error + unigram,Unnecessary anaphor \break (n = 20)
27,UA,20,0.0,0.0,0.0,Error + bigram,Unnecessary anaphor \break (n = 20)
28,MC,20,1.0,0.53,0.69,Padded error,Missing link word \break (n = 20)
28,MC,20,1.0,0.47,0.64,Error + unigram,Missing link word \break (n = 20)
28,MC,20,1.0,0.41,0.58,Error + bigram,Missing link word \break (n = 20)
12,DY,19,0.29,0.25,0.27,Padded error,Derivation of adverb error \break (n = 19)
12,DY,19,0.36,0.5,0.42,Error + unigram,Derivation of adverb error \break (n = 19)
12,DY,19,0.4,0.25,0.31,Error + bigram,Derivation of adverb error \break (n = 19)
32,AGA,19,0.0,0.0,0.0,Padded error,Anaphor agreement error \break (n = 19)
32,AGA,19,0.0,0.0,0.0,Error + unigram,Anaphor agreement error \break (n = 19)
32,AGA,19,0.0,0.0,0.0,Error + bigram,Anaphor agreement error \break (n = 19)
9,UY,18,0.33,0.5,0.4,Padded error,Unnecessary adverb \break (n = 18)
9,UY,18,0.22,0.5,0.31,Error + unigram,Unnecessary adverb \break (n = 18)
9,UY,18,0.2,0.25,0.22,Error + bigram,Unnecessary adverb \break (n = 18)
4,AS,17,0.5,0.17,0.25,Padded error,Argument structure error \break (n = 17)
4,AS,17,0.0,0.0,0.0,Error + unigram,Argument structure error \break (n = 17)
4,AS,17,0.0,0.0,0.0,Error + bigram,Argument structure error \break (n = 17)
45,UC,14,0.2,1.0,0.33,Padded error,Unnecessary link word \break (n = 14)
45,UC,14,0.33,1.0,0.5,Error + unigram,Unnecessary link word \break (n = 14)
45,UC,14,0.25,1.0,0.4,Error + bigram,Unnecessary link word \break (n = 14)
37,RQ,14,1.0,0.29,0.44,Padded error,Replace quantifier \break (n = 14)
37,RQ,14,0.0,0.0,0.0,Error + unigram,Replace quantifier \break (n = 14)
37,RQ,14,0.5,0.14,0.22,Error + bigram,Replace quantifier \break (n = 14)
30,MN,14,0.5,0.17,0.25,Padded error,Missing noun \break (n = 14)
30,MN,14,0.67,0.33,0.44,Error + unigram,Missing noun \break (n = 14)
30,MN,14,0.4,0.33,0.36,Error + bigram,Missing noun \break (n = 14)
23,MY,13,1.0,0.25,0.4,Padded error,Missing adverb \break (n = 13)
23,MY,13,0.83,0.42,0.56,Error + unigram,Missing adverb \break (n = 13)
23,MY,13,1.0,0.08,0.15,Error + bigram,Missing adverb \break (n = 13)
15,IV,13,0.0,0.0,0.0,Padded error,Incorrect verb inflection \break (n = 13)
15,IV,13,0.0,0.0,0.0,Error + unigram,Incorrect verb inflection \break (n = 13)
15,IV,13,0.0,0.0,0.0,Error + bigram,Incorrect verb inflection \break (n = 13)
47,FD,13,0.0,0.0,0.0,Padded error,Incorrect determiner form \break (n = 13)
47,FD,13,0.0,0.0,0.0,Error + unigram,Incorrect determiner form \break (n = 13)
47,FD,13,0.0,0.0,0.0,Error + bigram,Incorrect determiner form \break (n = 13)
38,DD,12,0.0,0.0,0.0,Padded error,Derivation of determiner error \break (n = 12)
38,DD,12,0.0,0.0,0.0,Error + unigram,Derivation of determiner error \break (n = 12)
38,DD,12,0.0,0.0,0.0,Error + bigram,Derivation of determiner error \break (n = 12)
41,CN,12,0.67,0.4,0.5,Padded error,Countability of noun error \break (n = 12)
41,CN,12,0.83,0.5,0.62,Error + unigram,Countability of noun error \break (n = 12)
41,CN,12,1.0,0.6,0.75,Error + bigram,Countability of noun error \break (n = 12)
50,UN,9,0.83,0.62,0.71,Padded error,Unnecessary noun \break (n = 9)
50,UN,9,0.88,0.88,0.88,Error + unigram,Unnecessary noun \break (n = 9)
50,UN,9,1.0,0.5,0.67,Error + bigram,Unnecessary noun \break (n = 9)
44,IN,9,1.0,0.6,0.75,Padded error,Incorrect noun inflection \break (n = 9)
44,IN,9,0.62,1.0,0.77,Error + unigram,Incorrect noun inflection \break (n = 9)
44,IN,9,0.67,0.8,0.73,Error + bigram,Incorrect noun inflection \break (n = 9)
42,L,9,1.0,0.4,0.57,Padded error,Inappropriate register \break (n = 9)
42,L,9,1.0,0.2,0.33,Error + unigram,Inappropriate register \break (n = 9)
42,L,9,0.5,0.2,0.29,Error + bigram,Inappropriate register \break (n = 9)
40,X,8,0.0,0.0,0.0,Padded error,Incorrect negative formation \break (n = 8)
40,X,8,0.0,0.0,0.0,Error + unigram,Incorrect negative formation \break (n = 8)
40,X,8,1.0,0.25,0.4,Error + bigram,Incorrect negative formation \break (n = 8)
49,AGQ,7,0.0,0.0,0.0,Padded error,Quantifier agreement error \break (n = 7)
49,AGQ,7,0.0,0.0,0.0,Error + unigram,Quantifier agreement error \break (n = 7)
49,AGQ,7,1.0,0.14,0.25,Error + bigram,Quantifier agreement error \break (n = 7)
24,UJ,6,0.0,0.0,0.0,Padded error,Unnecessary adjective \break (n = 6)
24,UJ,6,0.0,0.0,0.0,Error + unigram,Unnecessary adjective \break (n = 6)
24,UJ,6,0.0,0.0,0.0,Error + bigram,Unnecessary adjective \break (n = 6)
26,DV,5,1.0,0.4,0.57,Padded error,Derivation of verb error \break (n = 5)
26,DV,5,1.0,0.6,0.75,Error + unigram,Derivation of verb error \break (n = 5)
26,DV,5,1.0,0.4,0.57,Error + bigram,Derivation of verb error \break (n = 5)
33,CQ,4,0.0,0.0,0.0,Padded error,Wrong quantifier because of noun countability \break (n = 4)
33,CQ,4,0.0,0.0,0.0,Error + unigram,Wrong quantifier because of noun countability \break (n = 4)
33,CQ,4,0.0,0.0,0.0,Error + bigram,Wrong quantifier because of noun countability \break (n = 4)
39,FJ,4,0.0,0.0,0.0,Padded error,Wrong adjective form \break (n = 4)
39,FJ,4,0.0,0.0,0.0,Error + unigram,Wrong adjective form \break (n = 4)
39,FJ,4,1.0,0.33,0.5,Error + bigram,Wrong adjective form \break (n = 4)
46,MJ,4,1.0,1.0,1.0,Padded error,Missing adjective \break (n = 4)
46,MJ,4,0.5,0.5,0.5,Error + unigram,Missing adjective \break (n = 4)
46,MJ,4,1.0,0.5,0.67,Error + bigram,Missing adjective \break (n = 4)
31,AGD,4,0.0,0.0,0.0,Padded error,Determiner agreement error \break (n = 4)
31,AGD,4,0.0,0.0,0.0,Error + unigram,Determiner agreement error \break (n = 4)
31,AGD,4,0.0,0.0,0.0,Error + bigram,Determiner agreement error \break (n = 4)
51,UQ,3,0.0,0.0,0.0,Padded error,Unnecessary quantifier \break (n = 3)
51,UQ,3,0.0,0.0,0.0,Error + unigram,Unnecessary quantifier \break (n = 3)
51,UQ,3,0.0,0.0,0.0,Error + bigram,Unnecessary quantifier \break (n = 3)
53,MQ,3,0.5,0.5,0.5,Padded error,Missing quantifier \break (n = 3)
53,MQ,3,0.0,0.0,0.0,Error + unigram,Missing quantifier \break (n = 3)
53,MQ,3,0.0,0.0,0.0,Error + bigram,Missing quantifier \break (n = 3)
52,FA,2,0.0,0.0,0.0,Padded error,Wrong anaphor form \break (n = 2)
52,FA,2,0.0,0.0,0.0,Error + unigram,Wrong anaphor form \break (n = 2)
52,FA,2,0.0,0.0,0.0,Error + bigram,Wrong anaphor form \break (n = 2)
43,IJ,2,0.0,0.0,0.0,Padded error,Incorrect adjective inflection \break (n = 2)
43,IJ,2,0.0,0.0,0.0,Error + unigram,Incorrect adjective inflection \break (n = 2)
43,IJ,2,0.0,0.0,0.0,Error + bigram,Incorrect adjective inflection \break (n = 2)
55,CD,1,0.0,0.0,0.0,Padded error,Wrong determiner because of noun countability \break (n = 1)
55,CD,1,0.0,0.0,0.0,Error + unigram,Wrong determiner because of noun countability \break (n = 1)
55,CD,1,0.0,0.0,0.0,Error + bigram,Wrong determiner because of noun countability \break (n = 1)
48,FY,1,1.0,1.0,1.0,Padded error,Wrong adverb form \break (n = 1)
48,FY,1,1.0,1.0,1.0,Error + unigram,Wrong adverb form \break (n = 1)
48,FY,1,1.0,1.0,1.0,Error + bigram,Wrong adverb form \break (n = 1)
54,IQ,1,1.0,1.0,1.0,Padded error,Incorrect quantifier inflection \break (n = 1)
54,IQ,1,1.0,1.0,1.0,Error + unigram,Incorrect quantifier inflection \break (n = 1)
54,IQ,1,0.0,0.0,0.0,Error + bigram,Incorrect quantifier inflection \break (n = 1)
