method,n,accuracy,precision,recall,f1
interpolation,2,0.9396193829087649,0.7015250544662309,0.4420041180507893,0.5423157894736843
unsmoothed,2,0.938918296854761,0.6934782608695652,0.4378860672614962,0.5368111064366848
laplace,2,0.9368518715334284,0.6934782608695652,0.4378860672614962,0.5368111064366848
interpolation,3,0.9308014215018765,0.6462765957446809,0.3335621139327385,0.4400181077410593
laplace,3,0.9301703809492179,0.6256544502617801,0.32807137954701443,0.430436740207114
unsmoothed,3,0.9295393403965593,0.6394366197183099,0.31159917638984214,0.4190124596215967
interpolation,4,0.9130990733667674,,,
laplace,4,0.9105749111561328,,,
interpolation,1,0.9097445946394767,,,
laplace,1,0.9097445946394767,,,
unsmoothed,1,0.9097445946394767,,,
unsmoothed,4,0.8829585838121492,,,
interpolation,5,0.880102294994852,,,
laplace,5,0.8756684047959082,,,
unsmoothed,5,0.7092563685276829,,,