,sequence,guess
0,"['PRON', 'VERB', 'VERB']",zhs_ud
1,"['ADJ', 'NOUN', 'ADP']",zhs_ud
2,"['PROPN', 'PROPN', 'PUNCT']",en_ud
3,"['DET', 'NOUN', 'CCONJ']",en_ud
4,"['VERB', 'DET', 'NOUN']",zhs_ud
5,"['NOUN', 'ADP', 'DET']",zhs_ud
6,"['NOUN', 'PUNCT', 'CCONJ']",zhs_ud
7,"['DET', 'VERB', 'ADJ']",en_ud
8,"['ADP', 'DET', 'NOUN']",en_ud
9,"['ADJ', 'NOUN', 'ADP']",zhs_ud
10,"['CCONJ', 'ADV', 'VERB']",en_ud
11,"['NOUN', 'PUNCT', '_']",zhs_ud
12,"['NOUN', 'CCONJ', 'ADV']",zhs_ud
13,"['ADJ', 'NOUN', 'CCONJ']",zhs_ud
14,"['PRON', 'PRON', 'VERB']",en_ud
15,"['VERB', 'PRON', 'PRON']",zhs_ud
16,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
17,"['ADV', 'ADJ', 'PUNCT']",zhs_ud
18,"['PROPN', 'PROPN', 'PUNCT']",en_ud
19,"['NOUN', 'ADP', 'DET']",zhs_ud
20,"['ADJ', 'NOUN', 'NOUN']",zhs_ud
21,"['ADP', 'DET', 'NOUN']",en_ud
22,"['NOUN', 'VERB', 'ADV']",zhs_ud
23,"['NOUN', 'ADP', 'DET']",zhs_ud
24,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
25,"['VERB', 'DET', 'PROPN']",zhs_ud
26,"['ADV', 'PUNCT', 'NOUN']",zhs_ud
27,"['VERB', 'ADP', 'VERB']",zhs_ud
28,"['DET', 'DET', 'NOUN']",en_ud
29,"['ADP', 'DET', 'ADJ']",en_ud
30,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
31,"['_', '_', '_']",zhs_ud
32,"['VERB', 'NOUN', 'ADV']",zhs_ud
33,"['VERB', 'DET', 'NOUN']",zhs_ud
34,"['ADV', 'PUNCT', 'ADP']",zhs_ud
35,"['ADP', 'DET', 'NOUN']",en_ud
36,"['PROPN', 'PUNCT', 'PRON']",en_ud
37,"['VERB', 'ADP', 'NUM']",zhs_ud
38,"['VERB', 'PRON', 'NOUN']",zhs_ud
39,"['ADJ', 'CCONJ', 'AUX']",en_ud
40,"['DET', 'ADJ', 'PUNCT']",en_ud
41,"['PROPN', 'PROPN', 'CCONJ']",en_ud
42,"['VERB', 'DET', 'NOUN']",zhs_ud
43,"['VERB', 'DET', 'NOUN']",zhs_ud
44,"['NOUN', 'NOUN', 'PRON']",zhs_ud
45,"['DET', 'NOUN', 'NOUN']",en_ud
46,"['NOUN', 'ADP', 'DET']",zhs_ud
47,"['NOUN', 'CCONJ', 'ADP']",zhs_ud
48,"['ADV', 'PUNCT', 'CCONJ']",zhs_ud
49,"['ADJ', 'ADJ', 'ADP']",en_ud
50,"['VERB', 'NOUN', 'PUNCT']",zhs_ud
51,"['VERB', 'PUNCT', 'DET']",zhs_ud
52,"['ADJ', 'NOUN', 'ADP']",zhs_ud
53,"['NOUN', 'ADP', 'PRON']",zhs_ud
54,"['PROPN', 'PROPN', 'PUNCT']",en_ud
55,"['ADP', 'DET', 'PROPN']",en_ud
56,"['PUNCT', 'NOUN', 'NOUN']",zhs_ud
57,"['VERB', 'DET', 'NOUN']",zhs_ud
58,"['NOUN', 'VERB', 'ADJ']",zhs_ud
59,"['NOUN', 'NOUN', 'VERB']",zhs_ud
60,"['PROPN', 'PROPN', 'PUNCT']",en_ud
61,"['ADP', 'ADJ', 'NOUN']",en_ud
62,"['ADJ', 'ADP', 'NUM']",en_ud
63,"['NOUN', 'VERB', 'DET']",zhs_ud
64,"['NOUN', 'CCONJ', 'NOUN']",zhs_ud
65,"['VERB', 'ADP', 'PRON']",zhs_ud
66,"['VERB', 'DET', 'NOUN']",zhs_ud
67,"['DET', 'ADJ', 'ADJ']",en_ud
68,"['NOUN', 'PUNCT', 'ADP']",zhs_ud
69,"['ADP', 'NOUN', 'ADP']",en_ud
70,"['NUM', 'ADP', 'DET']",zhs_ud
71,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
72,"['VERB', 'VERB', 'ADP']",zhs_ud
73,"['NOUN', 'CCONJ', 'PRON']",zhs_ud
74,"['DET', 'NOUN', 'PART']",en_ud
75,"['VERB', 'NOUN', 'ADP']",zhs_ud
76,"['PRON', 'VERB', 'ADJ']",zhs_ud
77,"['VERB', 'PART', 'VERB']",zhs_ud
78,"['VERB', 'NOUN', 'PUNCT']",zhs_ud
79,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
80,"['ADJ', 'ADP', 'NOUN']",en_ud
81,"['ADV', 'VERB', 'ADP']",zhs_ud
82,"['ADJ', 'ADJ', 'NOUN']",en_ud
83,"['NOUN', 'PUNCT', 'CCONJ']",zhs_ud
84,"['VERB', 'PART', 'VERB']",zhs_ud
85,"['VERB', 'VERB', 'ADV']",zhs_ud
86,"['PROPN', 'PROPN', 'PUNCT']",en_ud
87,"['ADP', 'PRON', 'VERB']",en_ud
88,"['ADJ', 'NOUN', 'ADP']",zhs_ud
89,"['VERB', 'PUNCT', 'PROPN']",zhs_ud
90,"['PRON', 'NOUN', 'ADP']",zhs_ud
91,"['VERB', 'VERB', 'ADP']",zhs_ud
92,"['ADV', 'PRON', 'VERB']",zhs_ud
93,"['VERB', 'ADP', 'DET']",zhs_ud
94,"['NOUN', 'PRON', 'VERB']",zhs_ud
95,"['ADJ', 'NOUN', 'PRON']",zhs_ud
96,"['NOUN', 'VERB', 'VERB']",zhs_ud
97,"['PRON', 'ADV', 'VERB']",zhs_ud
98,"['NOUN', 'ADP', 'DET']",zhs_ud
99,"['NOUN', 'ADP', 'PRON']",zhs_ud
100,"['VERB', 'ADV', 'PRON']",zhs_ud
101,"['VERB', 'ADV', 'ADP']",zhs_ud
102,"['DET', 'NOUN', 'ADV']",en_ud
103,"['ADV', 'ADJ', 'NOUN']",zhs_ud
104,"['NOUN', 'PUNCT', '_']",zhs_ud
105,"['NOUN', 'PART', 'VERB']",zhs_ud
106,"['VERB', 'PART', 'VERB']",zhs_ud
107,"['VERB', 'VERB', 'ADP']",zhs_ud
108,"['NOUN', 'VERB', 'NUM']",zhs_ud
109,"['VERB', 'ADP', 'DET']",zhs_ud
110,"['ADP', 'DET', 'PROPN']",en_ud
111,"['VERB', 'DET', 'NOUN']",zhs_ud
112,"['PROPN', 'NOUN', 'PUNCT']",zhs_ud
113,"['PRON', 'ADP', 'PRON']",en_ud
114,"['PROPN', 'PROPN', 'PUNCT']",en_ud
115,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
116,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
117,"['DET', 'PROPN', 'PUNCT']",en_ud
118,"['VERB', 'DET', 'NOUN']",zhs_ud
119,"['VERB', 'ADP', 'DET']",zhs_ud
120,"['NOUN', 'ADP', 'DET']",zhs_ud
121,"['PUNCT', 'PRON', 'VERB']",en_ud
122,"['DET', 'VERB', 'ADV']",en_ud
123,"['VERB', 'PART', 'VERB']",zhs_ud
124,"['VERB', 'VERB', 'NOUN']",zhs_ud
125,"['ADP', 'DET', 'NOUN']",en_ud
126,"['VERB', 'ADV', 'VERB']",zhs_ud
127,"['VERB', 'PUNCT', 'PROPN']",zhs_ud
128,"['VERB', 'PART', 'VERB']",zhs_ud
129,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
130,"['VERB', 'DET', 'NOUN']",zhs_ud
131,"['NOUN', 'ADP', 'ADV']",zhs_ud
132,"['VERB', 'DET', 'ADJ']",zhs_ud
133,"['VERB', 'NOUN', 'PUNCT']",zhs_ud
134,"['VERB', 'NOUN', 'ADP']",zhs_ud
135,"['ADV', 'ADJ', 'ADP']",zhs_ud
136,"['VERB', 'DET', 'NOUN']",zhs_ud
137,"['ADV', 'ADJ', 'NOUN']",zhs_ud
138,"['ADJ', 'NOUN', 'CCONJ']",zhs_ud
139,"['VERB', 'ADV', 'ADJ']",zhs_ud
140,"['NOUN', 'ADJ', 'NOUN']",zhs_ud
141,"['ADP', 'VERB', 'DET']",en_ud
142,"['NOUN', 'PART', 'VERB']",zhs_ud
143,"['NOUN', 'ADP', 'ADJ']",zhs_ud
144,"['NUM', 'NOUN', 'PUNCT']",zhs_ud
145,"['VERB', 'PART', 'ADP']",zhs_ud
146,"['PART', 'VERB', 'ADP']",zhs_ud
147,"['NOUN', 'ADP', 'DET']",zhs_ud
148,"['VERB', 'VERB', 'VERB']",zhs_ud
149,"['ADP', 'DET', 'NOUN']",en_ud
150,"['PART', 'VERB', 'PUNCT']",zhs_ud
151,"['PART', 'PUNCT', 'PRON']",zhs_ud
152,"['ADV', 'PRON', 'VERB']",zhs_ud
153,"['VERB', 'ADJ', 'PUNCT']",zhs_ud
154,"['VERB', 'ADP', 'PRON']",zhs_ud
155,"['NOUN', 'VERB', 'ADV']",zhs_ud
156,"['NOUN', 'PART', 'VERB']",zhs_ud
157,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
158,"['ADP', 'DET', 'NOUN']",en_ud
159,"['PROPN', 'PUNCT', 'PRON']",en_ud
160,"['ADJ', 'NOUN', 'ADV']",zhs_ud
161,"['ADV', 'ADJ', 'PUNCT']",zhs_ud
162,"['NOUN', 'VERB', 'PUNCT']",zhs_ud
163,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
164,"['NOUN', 'ADV', 'ADP']",zhs_ud
165,"['ADV', 'VERB', 'DET']",zhs_ud
166,"['NOUN', 'DET', 'VERB']",zhs_ud
167,"['DET', 'NOUN', 'ADV']",en_ud
168,"['DET', 'ADJ', 'ADP']",en_ud
169,"['PART', 'VERB', 'NOUN']",zhs_ud
170,"['VERB', 'ADV', 'ADJ']",zhs_ud
171,"['DET', 'NOUN', 'PUNCT']",en_ud
172,"['VERB', 'PART', 'VERB']",zhs_ud
173,"['PRON', 'VERB', 'VERB']",zhs_ud
174,"['NOUN', 'PUNCT', 'PROPN']",zhs_ud
175,"['PUNCT', 'CCONJ', 'DET']",en_ud
176,"['DET', 'NOUN', 'PUNCT']",en_ud
177,"['ADP', 'DET', 'NOUN']",en_ud
178,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
179,"['NOUN', 'VERB', 'PRON']",zhs_ud
180,"['VERB', 'VERB', 'ADP']",zhs_ud
181,"['ADV', 'ADJ', 'ADP']",zhs_ud
182,"['VERB', 'ADJ', 'PUNCT']",zhs_ud
183,"['VERB', 'VERB', 'ADJ']",zhs_ud
184,"['VERB', 'VERB', 'ADV']",zhs_ud
185,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
186,"['PRON', 'VERB', 'DET']",zhs_ud
187,"['NOUN', 'ADP', 'ADV']",zhs_ud
188,"['NOUN', 'NOUN', 'NOUN']",zhs_ud
189,"['ADJ', 'PROPN', 'VERB']",en_ud
190,"['DET', 'NOUN', 'ADV']",en_ud
191,"['ADV', 'VERB', 'CCONJ']",zhs_ud
192,"['DET', 'NOUN', 'PUNCT']",en_ud
193,"['ADV', 'VERB', 'NOUN']",zhs_ud
194,"['VERB', 'VERB', 'DET']",zhs_ud
195,"['ADV', 'PUNCT', 'PRON']",zhs_ud
196,"['VERB', 'VERB', 'ADJ']",zhs_ud
197,"['DET', 'VERB', 'VERB']",en_ud
198,"['DET', 'VERB', 'ADV']",en_ud
199,"['VERB', 'VERB', 'PUNCT']",zhs_ud
200,"['NOUN', 'CCONJ', 'VERB']",zhs_ud
201,"['DET', 'DET', 'ADJ']",en_ud
202,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
203,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
204,"['NOUN', 'PART', 'ADV']",zhs_ud
205,"['VERB', 'DET', 'NOUN']",zhs_ud
206,"['VERB', 'NOUN', 'VERB']",zhs_ud
207,"['ADP', 'PRON', 'VERB']",en_ud
208,"['DET', 'ADJ', 'NOUN']",en_ud
209,"['ADP', 'PRON', 'PUNCT']",en_ud
210,"['PRON', 'VERB', 'ADV']",zhs_ud
211,"['NOUN', 'ADP', 'NOUN']",zhs_ud
212,"['ADP', 'DET', 'ADJ']",en_ud
213,"['ADV', 'VERB', 'DET']",zhs_ud
214,"['VERB', 'VERB', 'CCONJ']",zhs_ud
215,"['ADV', 'ADJ', 'PUNCT']",zhs_ud
216,"['VERB', 'ADP', 'NOUN']",zhs_ud
217,"['PRON', 'VERB', 'VERB']",zhs_ud
218,"['ADP', 'NOUN', 'DET']",en_ud
219,"['NOUN', 'PUNCT', 'INTJ']",zhs_ud
220,"['VERB', 'VERB', 'DET']",zhs_ud
221,"['NOUN', 'PART', 'VERB']",zhs_ud
222,"['VERB', 'PART', 'VERB']",zhs_ud
223,"['VERB', 'DET', 'NOUN']",zhs_ud
224,"['VERB', 'NOUN', 'ADP']",zhs_ud
225,"['NOUN', 'NOUN', 'ADP']",zhs_ud
226,"['PROPN', 'PROPN', 'PUNCT']",en_ud
227,"['VERB', 'PRON', 'ADV']",zhs_ud
228,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
229,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
230,"['ADP', 'DET', 'NOUN']",en_ud
231,"['NOUN', 'PUNCT', 'ADP']",zhs_ud
232,"['VERB', 'ADP', 'PRON']",zhs_ud
233,"['PROPN', 'PROPN', 'PUNCT']",en_ud
234,"['NOUN', 'PUNCT', 'NOUN']",zhs_ud
235,"['ADP', 'ADV', 'PUNCT']",en_ud
236,"['NOUN', 'VERB', 'VERB']",zhs_ud
237,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
238,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
239,"['VERB', 'ADP', 'DET']",zhs_ud
240,"['ADP', 'ADJ', 'PUNCT']",en_ud
241,"['VERB', 'ADJ', 'ADJ']",zhs_ud
242,"['NOUN', 'PUNCT', 'NOUN']",zhs_ud
243,"['NOUN', 'DET', 'PRON']",zhs_ud
244,"['PRON', 'VERB', 'ADV']",zhs_ud
245,"['VERB', 'ADV', 'VERB']",zhs_ud
246,"['DET', 'ADJ', 'NOUN']",en_ud
247,"['ADP', 'VERB', 'DET']",en_ud
248,"['NOUN', 'VERB', 'VERB']",zhs_ud
249,"['VERB', 'NOUN', 'CCONJ']",zhs_ud
250,"['NOUN', 'ADV', 'PRON']",zhs_ud
251,"['VERB', 'ADV', 'PUNCT']",zhs_ud
252,"['VERB', 'ADP', 'DET']",zhs_ud
253,"['NOUN', 'ADV', 'ADP']",zhs_ud
254,"['NOUN', 'NOUN', 'ADP']",zhs_ud
255,"['DET', 'VERB', 'NOUN']",en_ud
256,"['DET', 'VERB', 'PROPN']",en_ud
257,"['NOUN', 'ADP', 'NOUN']",zhs_ud
258,"['VERB', 'ADP', 'NUM']",zhs_ud
259,"['VERB', 'PART', 'VERB']",zhs_ud
260,"['ADV', 'ADP', 'NUM']",zhs_ud
261,"['VERB', 'DET', 'ADJ']",zhs_ud
262,"['VERB', 'ADJ', 'PART']",zhs_ud
263,"['NOUN', 'PUNCT', 'DET']",zhs_ud
264,"['VERB', 'VERB', 'PUNCT']",zhs_ud
265,"['VERB', 'VERB', 'ADP']",zhs_ud
266,"['VERB', 'ADP', 'NUM']",zhs_ud
267,"['ADJ', 'PUNCT', 'CCONJ']",en_ud
268,"['ADJ', 'NOUN', 'PART']",zhs_ud
269,"['NOUN', 'PRON', 'VERB']",zhs_ud
270,"['NOUN', 'VERB', 'PRON']",zhs_ud
271,"['NOUN', 'NOUN', 'ADP']",zhs_ud
272,"['DET', 'NOUN', 'VERB']",en_ud
273,"['DET', 'ADV', 'VERB']",en_ud
274,"['ADJ', 'NOUN', 'ADJ']",zhs_ud
275,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
276,"['NOUN', 'VERB', 'NOUN']",zhs_ud
277,"['DET', 'VERB', 'PRON']",en_ud
278,"['ADJ', 'NOUN', 'ADV']",zhs_ud
279,"['ADV', 'PUNCT', 'PRON']",zhs_ud
280,"['VERB', 'ADP', 'NUM']",zhs_ud
281,"['VERB', 'DET', 'NOUN']",zhs_ud
282,"['ADP', 'NOUN', 'CCONJ']",en_ud
283,"['NOUN', 'CCONJ', 'DET']",zhs_ud
284,"['VERB', 'ADP', 'DET']",zhs_ud
285,"['ADJ', 'ADJ', 'NOUN']",en_ud
286,"['ADP', 'DET', 'NOUN']",en_ud
287,"['NOUN', 'X', 'PUNCT']",zhs_ud
288,"['PUNCT', '_', '_']",en_ud
289,"['NOUN', 'ADP', 'NUM']",zhs_ud
290,"['NOUN', 'PUNCT', 'VERB']",zhs_ud
291,"['ADP', 'DET', 'NOUN']",en_ud
292,"['ADP', 'DET', 'NOUN']",en_ud
293,"['ADJ', 'NOUN', 'VERB']",zhs_ud
294,"['NOUN', 'ADP', 'DET']",zhs_ud
295,"['VERB', 'VERB', 'ADJ']",zhs_ud
296,"['NOUN', 'CCONJ', 'ADV']",zhs_ud
297,"['DET', 'NOUN', 'PUNCT']",en_ud
298,"['VERB', 'CCONJ', 'DET']",zhs_ud
299,"['DET', 'ADJ', 'NOUN']",en_ud
300,"['ADP', 'VERB', 'DET']",en_ud
301,"['NOUN', 'PRON', 'VERB']",zhs_ud
302,"['VERB', 'VERB', 'ADP']",zhs_ud
303,"['NOUN', 'CCONJ', 'NOUN']",zhs_ud
304,"['VERB', 'ADV', 'CCONJ']",zhs_ud
305,"['NOUN', 'PUNCT', '_']",zhs_ud
306,"['ADJ', 'PART', 'VERB']",zhs_ud
307,"['ADJ', 'PUNCT', 'ADP']",en_ud
308,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
309,"['_', '_', '_']",zhs_ud
310,"['NOUN', 'PRON', 'VERB']",zhs_ud
311,"['VERB', 'ADV', 'ADP']",zhs_ud
312,"['ADP', 'PROPN', 'ADP']",en_ud
313,"['VERB', 'ADV', 'VERB']",zhs_ud
314,"['VERB', 'PART', 'CCONJ']",zhs_ud
315,"['DET', 'NOUN', 'VERB']",en_ud
316,"['VERB', 'PROPN', 'ADP']",zhs_ud
317,"['NOUN', 'PUNCT', 'ADP']",zhs_ud
318,"['VERB', 'DET', 'NOUN']",zhs_ud
319,"['VERB', 'DET', 'ADJ']",zhs_ud
320,"['VERB', 'PRON', 'ADP']",zhs_ud
321,"['PROPN', 'NOUN', 'ADP']",zhs_ud
322,"['ADP', 'PRON', 'CCONJ']",en_ud
323,"['VERB', 'PRON', 'ADP']",zhs_ud
324,"['VERB', 'ADP', 'NOUN']",zhs_ud
325,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
326,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
327,"['NOUN', 'CCONJ', 'VERB']",zhs_ud
328,"['DET', 'VERB', 'ADV']",en_ud
329,"['VERB', 'ADJ', 'PUNCT']",zhs_ud
330,"['VERB', 'ADP', 'NOUN']",zhs_ud
331,"['ADV', 'DET', 'NOUN']",zhs_ud
332,"['VERB', 'CCONJ', 'PRON']",zhs_ud
333,"['DET', 'NOUN', 'ADV']",en_ud
334,"['ADJ', 'PUNCT', 'ADP']",en_ud
335,"['ADP', 'PUNCT', '_']",en_ud
336,"['VERB', 'DET', 'ADJ']",zhs_ud
337,"['DET', 'NOUN', 'CCONJ']",en_ud
338,"['ADP', 'DET', 'ADJ']",en_ud
339,"['ADJ', 'PART', 'VERB']",zhs_ud
340,"['ADV', 'ADV', 'PUNCT']",zhs_ud
341,"['VERB', 'PRON', 'NOUN']",zhs_ud
342,"['NOUN', 'ADJ', 'ADP']",zhs_ud
343,"['DET', 'VERB', 'ADV']",en_ud
344,"['VERB', 'PRON', 'NUM']",zhs_ud
345,"['NOUN', 'PART', 'NOUN']",zhs_ud
346,"['DET', 'VERB', 'ADP']",en_ud
347,"['ADV', 'VERB', 'ADP']",zhs_ud
348,"['NOUN', 'PART', 'NOUN']",zhs_ud
349,"['VERB', 'ADP', 'NUM']",zhs_ud
350,"['NOUN', 'ADV', 'ADP']",zhs_ud
351,"['NOUN', 'ADP', 'DET']",zhs_ud
352,"['VERB', 'ADP', 'ADP']",zhs_ud
353,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
354,"['NOUN', 'PART', 'NOUN']",zhs_ud
355,"['PROPN', 'PROPN', 'PROPN']",en_ud
356,"['NOUN', 'PART', 'VERB']",zhs_ud
357,"['NOUN', 'PUNCT', 'CCONJ']",zhs_ud
358,"['NOUN', 'PUNCT', 'NOUN']",zhs_ud
359,"['ADP', 'DET', 'NOUN']",en_ud
360,"['PUNCT', 'ADV', 'PUNCT']",zhs_ud
361,"['VERB', 'PRON', 'VERB']",zhs_ud
362,"['ADP', 'VERB', 'DET']",en_ud
363,"['ADV', 'ADP', 'NUM']",zhs_ud
364,"['ADV', 'PUNCT', 'PRON']",zhs_ud
365,"['VERB', 'ADP', 'DET']",zhs_ud
366,"['VERB', 'NOUN', 'ADV']",zhs_ud
